event	subject	cell_type	primer	spliced_umis
App	B_5	ASC	random hexamer	23
App	B_5	EX_cerebellum_granule	poly(dT)	4
App	B_5	EX_cerebellum_granule	random hexamer	199
App	B_5	EX_cortical	poly(dT)	2
App	B_5	EX_cortical	random hexamer	62
App	B_5	EX_hippocampus_granule	random hexamer	2
App	B_5	EX_hippocampus_pyramidal	random hexamer	12
App	B_5	EX_thalamus	random hexamer	8
App	B_5	INH_medium_spiny	random hexamer	26
App	B_5	INH_midbrain	random hexamer	23
App	B_5	INH_migrating_interneuron	poly(dT)	1
App	B_5	INH_migrating_interneuron	random hexamer	25
App	B_5	ODC	random hexamer	41
App	B_6	ASC	random hexamer	3
App	B_6	EX_cerebellum_granule	random hexamer	7
App	B_6	EX_cortical	poly(dT)	5
App	B_6	EX_cortical	random hexamer	48
App	B_6	EX_hippocampus_granule	random hexamer	6
App	B_6	EX_hippocampus_pyramidal	poly(dT)	1
App	B_6	EX_hippocampus_pyramidal	random hexamer	4
App	B_6	EX_thalamus	random hexamer	1
App	B_6	INH_medium_spiny	random hexamer	17
App	B_6	INH_midbrain	poly(dT)	3
App	B_6	INH_midbrain	random hexamer	19
App	B_6	INH_migrating_interneuron	poly(dT)	1
App	B_6	INH_migrating_interneuron	random hexamer	12
App	B_6	ODC	random hexamer	6
App	B_7	ASC	random hexamer	5
App	B_7	EX_cerebellum_granule	random hexamer	4
App	B_7	EX_cortical	poly(dT)	12
App	B_7	EX_cortical	random hexamer	24
App	B_7	EX_hippocampus_pyramidal	poly(dT)	4
App	B_7	EX_hippocampus_pyramidal	random hexamer	10
App	B_7	EX_thalamus	random hexamer	3
App	B_7	INH_medium_spiny	random hexamer	5
App	B_7	INH_midbrain	poly(dT)	2
App	B_7	INH_midbrain	random hexamer	8
App	B_7	INH_migrating_interneuron	poly(dT)	1
App	B_7	INH_migrating_interneuron	random hexamer	3
App	B_7	ODC	poly(dT)	1
App	B_7	ODC	random hexamer	2
App	B_8	ASC	poly(dT)	1
App	B_8	ASC	random hexamer	8
App	B_8	EX_cerebellum_granule	poly(dT)	4
App	B_8	EX_cerebellum_granule	random hexamer	14
App	B_8	EX_cortical	poly(dT)	32
App	B_8	EX_cortical	random hexamer	58
App	B_8	EX_hippocampus_granule	random hexamer	12
App	B_8	EX_hippocampus_pyramidal	poly(dT)	4
App	B_8	EX_thalamus	poly(dT)	6
App	B_8	INH_medium_spiny	poly(dT)	3
App	B_8	INH_medium_spiny	random hexamer	5
App	B_8	INH_midbrain	poly(dT)	9
App	B_8	INH_midbrain	random hexamer	21
App	B_8	INH_migrating_interneuron	poly(dT)	13
App	B_8	INH_migrating_interneuron	random hexamer	3
App	B_8	ODC	poly(dT)	5
App	B_8	ODC	random hexamer	5
App	C_1	ASC	poly(dT)	3
App	C_1	ASC	random hexamer	4
App	C_1	EX_cerebellum_granule	poly(dT)	4
App	C_1	EX_cerebellum_granule	random hexamer	8
App	C_1	EX_cortical	poly(dT)	21
App	C_1	EX_cortical	random hexamer	5
App	C_1	EX_hippocampus_granule	random hexamer	1
App	C_1	EX_hippocampus_pyramidal	poly(dT)	9
App	C_1	EX_thalamus	poly(dT)	7
App	C_1	EX_thalamus	random hexamer	1
App	C_1	INH_medium_spiny	poly(dT)	7
App	C_1	INH_medium_spiny	random hexamer	7
App	C_1	INH_midbrain	poly(dT)	11
App	C_1	INH_midbrain	random hexamer	12
App	C_1	INH_migrating_interneuron	poly(dT)	3
App	C_1	INH_migrating_interneuron	random hexamer	21
App	C_1	ODC	random hexamer	13
App	C_2	ASC	poly(dT)	3
App	C_2	ASC	random hexamer	3
App	C_2	EX_cerebellum_granule	poly(dT)	13
App	C_2	EX_cerebellum_granule	random hexamer	9
App	C_2	EX_cortical	poly(dT)	43
App	C_2	EX_cortical	random hexamer	40
App	C_2	EX_hippocampus_pyramidal	poly(dT)	5
App	C_2	EX_hippocampus_pyramidal	random hexamer	3
App	C_2	EX_thalamus	poly(dT)	3
App	C_2	INH_medium_spiny	poly(dT)	7
App	C_2	INH_medium_spiny	random hexamer	12
App	C_2	INH_midbrain	poly(dT)	4
App	C_2	INH_midbrain	random hexamer	9
App	C_2	INH_migrating_interneuron	poly(dT)	14
App	C_2	INH_migrating_interneuron	random hexamer	11
App	C_2	ODC	poly(dT)	2
App	C_3	ASC	random hexamer	3
App	C_3	EX_cerebellum_granule	random hexamer	25
App	C_3	EX_cortical	poly(dT)	7
App	C_3	EX_cortical	random hexamer	101
App	C_3	EX_hippocampus_pyramidal	poly(dT)	1
App	C_3	EX_hippocampus_pyramidal	random hexamer	22
App	C_3	EX_thalamus	random hexamer	11
App	C_3	INH_medium_spiny	random hexamer	31
App	C_3	INH_midbrain	random hexamer	15
App	C_3	INH_migrating_interneuron	poly(dT)	3
App	C_3	INH_migrating_interneuron	random hexamer	32
App	C_3	ODC	random hexamer	12
App	C_4	ASC	poly(dT)	4
App	C_4	ASC	random hexamer	2
App	C_4	EX_cerebellum_granule	poly(dT)	12
App	C_4	EX_cerebellum_granule	random hexamer	6
App	C_4	EX_cortical	poly(dT)	103
App	C_4	EX_cortical	random hexamer	51
App	C_4	EX_hippocampus_granule	poly(dT)	2
App	C_4	EX_hippocampus_pyramidal	poly(dT)	3
App	C_4	EX_hippocampus_pyramidal	random hexamer	1
App	C_4	INH_medium_spiny	poly(dT)	36
App	C_4	INH_medium_spiny	random hexamer	12
App	C_4	INH_midbrain	poly(dT)	20
App	C_4	INH_midbrain	random hexamer	3
App	C_4	INH_migrating_interneuron	poly(dT)	36
App	C_4	INH_migrating_interneuron	random hexamer	8
App	C_4	ODC	poly(dT)	8
App	C_4	ODC	random hexamer	10
App	C_5	ASC	poly(dT)	6
App	C_5	ASC	random hexamer	12
App	C_5	EX_cerebellum_granule	poly(dT)	24
App	C_5	EX_cerebellum_granule	random hexamer	48
App	C_5	EX_cortical	poly(dT)	39
App	C_5	EX_cortical	random hexamer	76
App	C_5	EX_hippocampus_granule	poly(dT)	2
App	C_5	EX_hippocampus_granule	random hexamer	15
App	C_5	EX_hippocampus_pyramidal	random hexamer	1
App	C_5	EX_thalamus	random hexamer	5
App	C_5	INH_medium_spiny	poly(dT)	20
App	C_5	INH_medium_spiny	random hexamer	16
App	C_5	INH_midbrain	poly(dT)	14
App	C_5	INH_midbrain	random hexamer	31
App	C_5	INH_migrating_interneuron	poly(dT)	10
App	C_5	INH_migrating_interneuron	random hexamer	21
App	C_5	ODC	poly(dT)	3
App	C_5	ODC	random hexamer	6
App	C_6	ASC	poly(dT)	16
App	C_6	ASC	random hexamer	11
App	C_6	EX_cerebellum_granule	poly(dT)	19
App	C_6	EX_cerebellum_granule	random hexamer	14
App	C_6	EX_cortical	poly(dT)	86
App	C_6	EX_cortical	random hexamer	44
App	C_6	EX_hippocampus_granule	poly(dT)	2
App	C_6	EX_hippocampus_granule	random hexamer	3
App	C_6	EX_hippocampus_pyramidal	poly(dT)	2
App	C_6	EX_hippocampus_pyramidal	random hexamer	1
App	C_6	EX_thalamus	poly(dT)	2
App	C_6	INH_medium_spiny	poly(dT)	11
App	C_6	INH_medium_spiny	random hexamer	20
App	C_6	INH_midbrain	poly(dT)	6
App	C_6	INH_midbrain	random hexamer	13
App	C_6	INH_migrating_interneuron	poly(dT)	20
App	C_6	INH_migrating_interneuron	random hexamer	10
App	C_6	ODC	poly(dT)	9
App	C_6	ODC	random hexamer	5
App	C_7	ASC	poly(dT)	2
App	C_7	ASC	random hexamer	6
App	C_7	EX_cerebellum_granule	poly(dT)	1
App	C_7	EX_cerebellum_granule	random hexamer	11
App	C_7	EX_cortical	poly(dT)	4
App	C_7	EX_cortical	random hexamer	13
App	C_7	EX_hippocampus_pyramidal	poly(dT)	1
App	C_7	EX_hippocampus_pyramidal	random hexamer	1
App	C_7	EX_thalamus	random hexamer	1
App	C_7	INH_medium_spiny	poly(dT)	4
App	C_7	INH_medium_spiny	random hexamer	2
App	C_7	INH_midbrain	poly(dT)	6
App	C_7	INH_midbrain	random hexamer	6
App	C_7	INH_migrating_interneuron	poly(dT)	4
App	C_7	INH_migrating_interneuron	random hexamer	7
App	C_7	ODC	poly(dT)	4
App	C_7	ODC	random hexamer	1
App	C_8	ASC	poly(dT)	5
App	C_8	ASC	random hexamer	1
App	C_8	EX_cerebellum_granule	poly(dT)	8
App	C_8	EX_cerebellum_granule	random hexamer	4
App	C_8	EX_cortical	poly(dT)	68
App	C_8	EX_cortical	random hexamer	51
App	C_8	EX_hippocampus_granule	random hexamer	1
App	C_8	EX_hippocampus_pyramidal	poly(dT)	8
App	C_8	EX_hippocampus_pyramidal	random hexamer	7
App	C_8	EX_thalamus	poly(dT)	6
App	C_8	EX_thalamus	random hexamer	7
App	C_8	INH_medium_spiny	poly(dT)	16
App	C_8	INH_medium_spiny	random hexamer	9
App	C_8	INH_midbrain	poly(dT)	36
App	C_8	INH_midbrain	random hexamer	54
App	C_8	INH_migrating_interneuron	poly(dT)	14
App	C_8	INH_migrating_interneuron	random hexamer	13
App	C_8	ODC	random hexamer	5
App	D_1	ASC	poly(dT)	1
App	D_1	ASC	random hexamer	7
App	D_1	EX_cerebellum_granule	poly(dT)	5
App	D_1	EX_cerebellum_granule	random hexamer	19
App	D_1	EX_cortical	poly(dT)	10
App	D_1	EX_cortical	random hexamer	38
App	D_1	EX_hippocampus_granule	random hexamer	2
App	D_1	EX_hippocampus_pyramidal	random hexamer	13
App	D_1	EX_thalamus	poly(dT)	1
App	D_1	EX_thalamus	random hexamer	1
App	D_1	INH_medium_spiny	poly(dT)	3
App	D_1	INH_medium_spiny	random hexamer	26
App	D_1	INH_midbrain	poly(dT)	1
App	D_1	INH_midbrain	random hexamer	29
App	D_1	INH_migrating_interneuron	poly(dT)	6
App	D_1	INH_migrating_interneuron	random hexamer	11
App	D_1	ODC	poly(dT)	1
App	D_1	ODC	random hexamer	10
App	D_2	ASC	poly(dT)	2
App	D_2	ASC	random hexamer	15
App	D_2	EX_cerebellum_granule	poly(dT)	5
App	D_2	EX_cerebellum_granule	random hexamer	9
App	D_2	EX_cortical	poly(dT)	58
App	D_2	EX_cortical	random hexamer	203
App	D_2	EX_hippocampus_granule	poly(dT)	1
App	D_2	EX_hippocampus_granule	random hexamer	28
App	D_2	EX_hippocampus_pyramidal	poly(dT)	5
App	D_2	EX_hippocampus_pyramidal	random hexamer	11
App	D_2	EX_thalamus	poly(dT)	12
App	D_2	EX_thalamus	random hexamer	29
App	D_2	INH_medium_spiny	random hexamer	4
App	D_2	INH_midbrain	poly(dT)	16
App	D_2	INH_midbrain	random hexamer	77
App	D_2	INH_migrating_interneuron	poly(dT)	8
App	D_2	INH_migrating_interneuron	random hexamer	37
App	D_2	ODC	poly(dT)	14
App	D_2	ODC	random hexamer	56
App	D_3	ASC	poly(dT)	4
App	D_3	ASC	random hexamer	9
App	D_3	EX_cerebellum_granule	poly(dT)	5
App	D_3	EX_cerebellum_granule	random hexamer	4
App	D_3	EX_cortical	poly(dT)	8
App	D_3	EX_cortical	random hexamer	13
App	D_3	EX_hippocampus_granule	poly(dT)	2
App	D_3	EX_hippocampus_granule	random hexamer	1
App	D_3	INH_medium_spiny	poly(dT)	12
App	D_3	INH_medium_spiny	random hexamer	4
App	D_3	INH_midbrain	poly(dT)	10
App	D_3	INH_midbrain	random hexamer	21
App	D_3	INH_migrating_interneuron	random hexamer	6
App	D_3	ODC	poly(dT)	3
App	D_3	ODC	random hexamer	2
App	D_4	ASC	poly(dT)	8
App	D_4	ASC	random hexamer	21
App	D_4	EX_cerebellum_granule	poly(dT)	2
App	D_4	EX_cerebellum_granule	random hexamer	8
App	D_4	EX_cortical	poly(dT)	48
App	D_4	EX_cortical	random hexamer	29
App	D_4	EX_hippocampus_granule	poly(dT)	2
App	D_4	EX_hippocampus_granule	random hexamer	1
App	D_4	EX_hippocampus_pyramidal	random hexamer	4
App	D_4	EX_thalamus	random hexamer	1
App	D_4	INH_medium_spiny	poly(dT)	10
App	D_4	INH_medium_spiny	random hexamer	12
App	D_4	INH_midbrain	poly(dT)	11
App	D_4	INH_midbrain	random hexamer	8
App	D_4	INH_migrating_interneuron	poly(dT)	27
App	D_4	INH_migrating_interneuron	random hexamer	34
App	D_4	ODC	poly(dT)	3
App	D_4	ODC	random hexamer	4
App	D_5	ASC	random hexamer	5
App	D_5	EX_cerebellum_granule	poly(dT)	3
App	D_5	EX_cerebellum_granule	random hexamer	13
App	D_5	EX_cortical	poly(dT)	22
App	D_5	EX_cortical	random hexamer	35
App	D_5	EX_hippocampus_pyramidal	random hexamer	8
App	D_5	INH_medium_spiny	poly(dT)	1
App	D_5	INH_midbrain	poly(dT)	2
App	D_5	INH_midbrain	random hexamer	28
App	D_5	INH_migrating_interneuron	poly(dT)	3
App	D_5	INH_migrating_interneuron	random hexamer	10
App	D_5	ODC	random hexamer	1
App	D_6	ASC	poly(dT)	4
App	D_6	ASC	random hexamer	72
App	D_6	EX_cerebellum_granule	poly(dT)	15
App	D_6	EX_cerebellum_granule	random hexamer	182
App	D_6	EX_cortical	poly(dT)	24
App	D_6	EX_cortical	random hexamer	673
App	D_6	EX_hippocampus_granule	poly(dT)	3
App	D_6	EX_hippocampus_granule	random hexamer	33
App	D_6	EX_hippocampus_pyramidal	poly(dT)	9
App	D_6	EX_hippocampus_pyramidal	random hexamer	55
App	D_6	EX_thalamus	poly(dT)	5
App	D_6	EX_thalamus	random hexamer	72
App	D_6	INH_medium_spiny	poly(dT)	15
App	D_6	INH_medium_spiny	random hexamer	161
App	D_6	INH_midbrain	poly(dT)	13
App	D_6	INH_midbrain	random hexamer	232
App	D_6	INH_migrating_interneuron	poly(dT)	9
App	D_6	INH_migrating_interneuron	random hexamer	92
App	D_6	ODC	poly(dT)	5
App	D_6	ODC	random hexamer	107
App	D_7	EX_cerebellum_granule	poly(dT)	4
App	D_7	EX_cerebellum_granule	random hexamer	10
App	D_7	EX_cortical	poly(dT)	20
App	D_7	EX_cortical	random hexamer	176
App	D_7	EX_hippocampus_granule	poly(dT)	3
App	D_7	EX_hippocampus_granule	random hexamer	12
App	D_7	EX_hippocampus_pyramidal	poly(dT)	7
App	D_7	EX_hippocampus_pyramidal	random hexamer	30
App	D_7	EX_thalamus	random hexamer	12
App	D_7	INH_medium_spiny	poly(dT)	3
App	D_7	INH_medium_spiny	random hexamer	27
App	D_7	INH_midbrain	poly(dT)	5
App	D_7	INH_midbrain	random hexamer	76
App	D_7	INH_migrating_interneuron	poly(dT)	1
App	D_7	INH_migrating_interneuron	random hexamer	7
App	D_7	ODC	poly(dT)	3
App	D_7	ODC	random hexamer	16
App	D_8	ASC	poly(dT)	6
App	D_8	ASC	random hexamer	1
App	D_8	EX_cerebellum_granule	poly(dT)	7
App	D_8	EX_cerebellum_granule	random hexamer	4
App	D_8	EX_cortical	poly(dT)	257
App	D_8	EX_cortical	random hexamer	49
App	D_8	EX_hippocampus_granule	poly(dT)	7
App	D_8	EX_hippocampus_granule	random hexamer	7
App	D_8	EX_hippocampus_pyramidal	poly(dT)	27
App	D_8	EX_hippocampus_pyramidal	random hexamer	2
App	D_8	EX_thalamus	poly(dT)	33
App	D_8	EX_thalamus	random hexamer	2
App	D_8	INH_medium_spiny	poly(dT)	49
App	D_8	INH_medium_spiny	random hexamer	14
App	D_8	INH_midbrain	poly(dT)	62
App	D_8	INH_midbrain	random hexamer	17
App	D_8	INH_migrating_interneuron	poly(dT)	98
App	D_8	INH_migrating_interneuron	random hexamer	22
App	D_8	ODC	poly(dT)	20
App	D_8	ODC	random hexamer	2
App	E_1	ASC	poly(dT)	10
App	E_1	ASC	random hexamer	28
App	E_1	EX_cerebellum_granule	poly(dT)	36
App	E_1	EX_cerebellum_granule	random hexamer	43
App	E_1	EX_cortical	poly(dT)	70
App	E_1	EX_cortical	random hexamer	110
App	E_1	EX_hippocampus_granule	poly(dT)	2
App	E_1	EX_hippocampus_granule	random hexamer	7
App	E_1	EX_hippocampus_pyramidal	poly(dT)	2
App	E_1	EX_hippocampus_pyramidal	random hexamer	8
App	E_1	EX_thalamus	poly(dT)	4
App	E_1	EX_thalamus	random hexamer	6
App	E_1	INH_medium_spiny	poly(dT)	17
App	E_1	INH_medium_spiny	random hexamer	28
App	E_1	INH_midbrain	poly(dT)	11
App	E_1	INH_midbrain	random hexamer	38
App	E_1	INH_migrating_interneuron	poly(dT)	20
App	E_1	INH_migrating_interneuron	random hexamer	31
App	E_1	ODC	poly(dT)	5
App	E_1	ODC	random hexamer	24
App	E_2	ASC	poly(dT)	23
App	E_2	ASC	random hexamer	1
App	E_2	EX_cerebellum_granule	poly(dT)	20
App	E_2	EX_cerebellum_granule	random hexamer	4
App	E_2	EX_cortical	poly(dT)	30
App	E_2	EX_cortical	random hexamer	7
App	E_2	EX_hippocampus_granule	poly(dT)	11
App	E_2	EX_hippocampus_granule	random hexamer	5
App	E_2	EX_hippocampus_pyramidal	random hexamer	1
App	E_2	INH_medium_spiny	poly(dT)	8
App	E_2	INH_medium_spiny	random hexamer	6
App	E_2	INH_midbrain	poly(dT)	13
App	E_2	INH_midbrain	random hexamer	10
App	E_2	INH_migrating_interneuron	poly(dT)	35
App	E_2	INH_migrating_interneuron	random hexamer	11
App	E_2	ODC	poly(dT)	22
App	E_2	ODC	random hexamer	16
App	E_3	ASC	poly(dT)	16
App	E_3	ASC	random hexamer	31
App	E_3	EX_cerebellum_granule	poly(dT)	20
App	E_3	EX_cerebellum_granule	random hexamer	84
App	E_3	EX_cortical	poly(dT)	85
App	E_3	EX_cortical	random hexamer	282
App	E_3	EX_hippocampus_granule	poly(dT)	5
App	E_3	EX_hippocampus_granule	random hexamer	34
App	E_3	EX_hippocampus_pyramidal	poly(dT)	3
App	E_3	EX_hippocampus_pyramidal	random hexamer	7
App	E_3	EX_thalamus	poly(dT)	2
App	E_3	EX_thalamus	random hexamer	6
