subject	cell_type	primer	cells
E_8	INH_midbrain	poly(dT)	64
E_8	INH_midbrain	random hexamer	64
F_1	EX_cortical	poly(dT)	393
F_1	EX_cortical	random hexamer	393
F_1	INH_medium_spiny	poly(dT)	145
F_1	INH_medium_spiny	random hexamer	145
F_1	INH_midbrain	poly(dT)	160
F_1	INH_midbrain	random hexamer	160
F_2	EX_cortical	poly(dT)	170
F_2	EX_cortical	random hexamer	170
F_2	INH_medium_spiny	poly(dT)	58
F_2	INH_medium_spiny	random hexamer	58
F_2	INH_midbrain	poly(dT)	37
F_2	INH_midbrain	random hexamer	37
F_3	EX_cortical	poly(dT)	95
F_3	EX_cortical	random hexamer	95
F_3	INH_medium_spiny	poly(dT)	27
F_3	INH_medium_spiny	random hexamer	27
F_3	INH_midbrain	poly(dT)	37
F_3	INH_midbrain	random hexamer	37
F_4	EX_cortical	poly(dT)	236
F_4	EX_cortical	random hexamer	236
F_4	INH_medium_spiny	poly(dT)	98
F_4	INH_medium_spiny	random hexamer	98
F_4	INH_midbrain	poly(dT)	129
F_4	INH_midbrain	random hexamer	129
F_5	EX_cortical	poly(dT)	519
F_5	EX_cortical	random hexamer	519
F_5	INH_medium_spiny	poly(dT)	32
F_5	INH_medium_spiny	random hexamer	32
F_5	INH_midbrain	poly(dT)	108
F_5	INH_midbrain	random hexamer	108
F_6	EX_cortical	poly(dT)	349
F_6	EX_cortical	random hexamer	349
F_6	INH_medium_spiny	poly(dT)	53
F_6	INH_medium_spiny	random hexamer	53
F_6	INH_midbrain	poly(dT)	52
F_6	INH_midbrain	random hexamer	52
F_7	EX_cortical	poly(dT)	263
F_7	EX_cortical	random hexamer	263
F_7	INH_medium_spiny	poly(dT)	63
F_7	INH_medium_spiny	random hexamer	63
F_7	INH_midbrain	poly(dT)	75
F_7	INH_midbrain	random hexamer	75
F_8	EX_cortical	poly(dT)	124
F_8	EX_cortical	random hexamer	124
F_8	INH_medium_spiny	poly(dT)	19
F_8	INH_medium_spiny	random hexamer	19
F_8	INH_midbrain	poly(dT)	28
F_8	INH_midbrain	random hexamer	28
