comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000033904	0.8612375832688418	0.0312593936671906	0.8612375832688418	0.9462069169064129	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000033981	0.0012398883993148	0.0304389569207972	0.0304389569207972	0.07178438049073997	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034145	1.017378244037986e-05	5.5858599534182994e-08	1.017378244037986e-05	5.4160430050257486e-05	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034156	0.0364333777814229	0.544165249949897	0.544165249949897	0.7124333471315107	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034160	0.48100011854586	0.162215904636053	0.48100011854586	0.6581809388722434	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034243	4.950413064392124e-06	2.4150899508055178e-21	4.950413064392124e-06	2.7569992758614597e-05	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034269	0.0039136405105155	0.2049845611804426	0.2049845611804426	0.3467495848005617	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034275	1.3218413641361033e-05	0.0001189072519979	0.0001189072519979	0.0005414393109841484	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034377	0.7775928355020332	0.0900338630362806	0.7775928355020332	0.8907867292776456	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034390	7.1049343905652735e-47	0.0001766859744534	0.0001766859744534	0.0007706062982184434	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034593	0.0602245078239073	0.8670912295303991	0.8670912295303991	0.9462069169064129	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034610	0.1290761539473998	0.0930653039080784	0.1290761539473998	0.24147580221684098	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034656	0.3720523569979897	0.0016444525126032	0.3720523569979897	0.5398114358046986	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034731	0.1926466642429678	0.5613221206487006	0.5613221206487006	0.7283104217735829	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034818	4.1114738458422177e-07	0.0284756639254953	0.0284756639254953	0.06804086033682706	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034832	2.6949308933476087e-06	0.0870257924469166	0.0870257924469166	0.17391488208679262	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034891	0.4508250996155202	0.2931495302924855	0.4508250996155202	0.6258024675845587	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000034902	6.000064252188611e-05	0.1193124199781022	0.1193124199781022	0.2279213510927335	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035133	1.6492443722810793e-25	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035164	0.3224017924022612	0.5374922826981692	0.5374922826981692	0.7081863345571999	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035168	2.916753799396109e-34	1.47586547364591e-11	1.47586547364591e-11	1.5948158252531922e-10	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035390	0.0171552068699498	0.0664734452711815	0.0664734452711815	0.13949789674300117	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035437	0.3884067585992066	0.060609723021191	0.3884067585992066	0.5579493913210825	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035469	0.2750432365042483	0.3924465463197098	0.3924465463197098	0.5626362367039008	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035545	6.333734056335311e-06	4.0352917682952116e-10	6.333734056335311e-06	3.447837185553959e-05	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035640	0.0568185212923129	0.5379868563625138	0.5379868563625138	0.7081863345571999	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035649	0.5427334199994409	0.9683306777887531	0.9683306777887531	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035863	3.919972079093931e-05	9.00900126972948e-37	3.919972079093931e-05	0.00019176079630162205	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035864	2.4195645541086626e-18	0.0003064955031501	0.0003064955031501	0.0012680156816038423	948
