null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	76	all	48	0.10416666666666667	0.0625	0.827926991776065
label_permutation	77	all	14	0.0	0.0	0.9995636818497544
label_permutation	78	all	29	0.27586206896551724	0.27586206896551724	0.7396697742110201
label_permutation	80	all	49	0.08163265306122448	0.02040816326530612	0.8119700915722563
label_permutation	84	all	66	0.13636363636363635	0.12121212121212122	0.8760392381573543
label_permutation	85	all	40	0.05	0.0	0.9669619503985121
label_permutation	88	all	32	0.21875	0.1875	0.9429406705220489
label_permutation	90	all	24	0.041666666666666664	0.0	0.9753443646328556
label_permutation	91	all	8	0.0	0.0	0.9904635386191587
label_permutation	92	all	16	0.125	0.0625	0.4858253822655316
label_permutation	95	all	31	0.16129032258064516	0.0	0.3753376694272284
label_permutation	96	all	16	0.75	0.5625	0.008662339185536251
label_permutation	98	all	15	0.0	0.0	1.0
label_permutation	100	all	102	0.12745098039215685	0.058823529411764705	0.8488651672400074
label_permutation	102	all	39	0.02564102564102564	0.0	0.9850327263402732
label_permutation	104	all	31	0.12903225806451613	0.06451612903225806	0.2929563609030957
label_permutation	105	all	38	0.07894736842105263	0.0	0.9521458334181041
label_permutation	108	all	12	0.0	0.0	0.9997730249307635
label_permutation	110	all	32	0.0625	0.0	0.9788882272388186
label_permutation	112	all	8	0.0	0.0	0.9969811639484409
label_permutation	114	all	24	0.041666666666666664	0.0	0.8831837506452447
label_permutation	115	all	31	0.03225806451612903	0.03225806451612903	0.6714880910672915
label_permutation	119	all	8	0.0	0.0	0.6362520484498
label_permutation	120	all	64	0.125	0.109375	0.9653735034390143
label_permutation	125	all	39	0.10256410256410256	0.02564102564102564	0.9683038988348271
label_permutation	126	all	35	0.0	0.0	0.9999898758871189
label_permutation	130	all	8	0.625	0.375	0.025026100741828247
label_permutation	132	all	15	0.0	0.0	0.9373475295554996
label_permutation	133	all	16	0.3125	0.1875	0.65225935918379
label_permutation	138	all	24	0.041666666666666664	0.0	0.8907318913396125
label_permutation	144	all	16	0.0	0.0	0.980131379295041
label_permutation	150	all	16	0.0	0.0	0.6798177870656898
label_permutation	152	all	8	0.375	0.25	0.7883505743324885
label_permutation	154	all	16	0.0	0.0	0.8902739165492863
label_permutation	160	all	3	0.0	0.0	1.0
label_permutation	161	all	4	0.25	0.0	0.13475767968925975
label_permutation	168	all	8	0.125	0.0	0.21885931739604375
label_permutation	175	all	24	0.0	0.0	0.9125778863919238
label_permutation	180	all	7	1.0	0.7142857142857143	4.812130305235978e-05
label_permutation	182	all	16	0.0625	0.0	0.695247591916561
label_permutation	184	all	16	0.0	0.0	0.8453150473282414
label_permutation	192	all	7	0.0	0.0	0.9983167043155304
label_permutation	198	all	4	0.0	0.0	0.9991121577951732
label_permutation	200	all	8	0.125	0.0	0.411817777709044
label_permutation	208	all	24	0.3333333333333333	0.25	0.4202775166231498
