null_type	replicate	tests	p_le_0.05	p_le_0.01	p_le_0.001	bh_0.05	bh_rate
wild_cluster	4	4273	0.020360402527498246	0.007020828457758015	0.0016381933068102036	4	0.000936110461034402
wild_cluster	5	4273	0.02340276152586005	0.006318745611982214	0.0016381933068102036	0	0.0
wild_cluster	6	4273	0.024104844371635854	0.007722911303533817	0.000936110461034402	0	0.0
wild_cluster	7	4273	0.024806927217411654	0.007956938918792417	0.0016381933068102036	1	0.0002340276152586005
wild_cluster	8	4273	0.019424292066463844	0.005850690381465013	0.0007020828457758015	1	0.0002340276152586005
wild_cluster	9	4273	0.025040954832670256	0.006318745611982214	0.000936110461034402	2	0.000468055230517201
wild_cluster	10	4273	0.020594430142756845	0.006552773227240814	0.001404165691551603	2	0.000468055230517201
wild_cluster	11	4273	0.023168733910601452	0.007020828457758015	0.0011701380762930026	2	0.000468055230517201
wild_cluster	12	4273	0.024104844371635854	0.006318745611982214	0.001404165691551603	2	0.000468055230517201
wild_cluster	13	4273	0.021062485373274046	0.006552773227240814	0.0016381933068102036	1	0.0002340276152586005
wild_cluster	14	4273	0.02246665106482565	0.005850690381465013	0.0021062485373274046	3	0.0007020828457758015
wild_cluster	15	4273	0.023168733910601452	0.008190966534051018	0.001404165691551603	2	0.000468055230517201
wild_cluster	16	4273	0.021530540603791247	0.007722911303533817	0.001872220922068804	0	0.0
wild_cluster	17	4273	0.02246665106482565	0.007020828457758015	0.001404165691551603	2	0.000468055230517201
wild_cluster	18	4273	0.01778609875965364	0.004212497074654809	0.0011701380762930026	1	0.0002340276152586005
wild_cluster	19	4273	0.020360402527498246	0.00444652468991341	0.0011701380762930026	0	0.0
wild_cluster	20	4273	0.020828457758015447	0.006552773227240814	0.0021062485373274046	2	0.000468055230517201
wild_cluster	21	4273	0.02293470629534285	0.006318745611982214	0.0011701380762930026	1	0.0002340276152586005
wild_cluster	22	4273	0.02246665106482565	0.004212497074654809	0.000468055230517201	0	0.0
wild_cluster	23	4273	0.024338871986894453	0.007956938918792417	0.001404165691551603	1	0.0002340276152586005
wild_cluster	24	4273	0.02270067868008425	0.008190966534051018	0.001872220922068804	2	0.000468055230517201
wild_cluster	25	4273	0.021296512988532648	0.005616662766206412	0.001404165691551603	0	0.0
wild_cluster	26	4273	0.02270067868008425	0.005616662766206412	0.0016381933068102036	2	0.000468055230517201
wild_cluster	27	4273	0.023636789141118653	0.006552773227240814	0.0021062485373274046	0	0.0
wild_cluster	28	4273	0.01872220922068804	0.005850690381465013	0.002340276152586005	5	0.0011701380762930026
wild_cluster	29	4273	0.025509010063187457	0.006318745611982214	0.001872220922068804	3	0.0007020828457758015
wild_cluster	30	4273	0.023636789141118653	0.006318745611982214	0.0016381933068102036	2	0.000468055230517201
wild_cluster	31	4273	0.02597706529370466	0.007254856073016616	0.001404165691551603	3	0.0007020828457758015
