test_id	null_type	replicates	observed_statistic	empirical_p_value	observed_mixture_log_bayes_factor	empirical_bf_p_value
ENSMUSG00000024921.18:B3	wild_cluster	32	52.946611827911056	0.030303030303030304	6.103922012547056	0.030303030303030304
ENSMUSG00000024924.15:B2	label_permutation	32	2.5549682362127726	0.5151515151515151	-0.938483037741812	0.3939393939393939
ENSMUSG00000024924.15:B2	wild_cluster	32	2.5549682362127726	0.42424242424242425	-0.938483037741812	0.21212121212121213
ENSMUSG00000024941.10:B1	label_permutation	32	3.861028281460108	0.21212121212121213	0.508946355774121	0.030303030303030304
ENSMUSG00000024941.10:B1	wild_cluster	32	3.861028281460108	0.030303030303030304	0.508946355774121	0.030303030303030304
ENSMUSG00000024943.10:B1	label_permutation	32	0.5169415066368401	0.8787878787878788	-1.0453082680480186	0.5151515151515151
ENSMUSG00000024943.10:B1	wild_cluster	32	0.5169415066368401	0.3939393939393939	-1.0453082680480186	0.36363636363636365
ENSMUSG00000024949.18:B1	label_permutation	32	6.867221358993788	0.2727272727272727	-0.7908905524127812	0.2727272727272727
ENSMUSG00000024949.18:B1	wild_cluster	32	6.867221358993788	0.48484848484848486	-0.7908905524127812	0.48484848484848486
ENSMUSG00000024955.16:B1	label_permutation	32	7.587160553157446e-07	1.0	-1.1274106093139835e-09	0.5151515151515151
ENSMUSG00000024955.16:B1	wild_cluster	32	7.587160553157446e-07	0.45454545454545453	-1.1274106093139835e-09	1.0
ENSMUSG00000024969.16:B1	label_permutation	32	18.289215718394644	0.5757575757575758	1.0111432672765666	0.06060606060606061
ENSMUSG00000024969.16:B1	wild_cluster	32	18.289215718394644	0.06060606060606061	1.0111432672765666	0.09090909090909091
ENSMUSG00000024969.16:B2	label_permutation	32	13.490310687301758	0.06060606060606061	0.6176725567246473	0.030303030303030304
ENSMUSG00000024969.16:B2	wild_cluster	32	13.490310687301758	0.06060606060606061	0.6176725567246473	0.06060606060606061
ENSMUSG00000024976.15:B1	label_permutation	32	3.3079410542098917	0.7878787878787878	-0.1707594423952212	0.21212121212121213
ENSMUSG00000024976.15:B1	wild_cluster	32	3.3079410542098917	0.6666666666666666	-0.1707594423952212	0.15151515151515152
ENSMUSG00000024982.11:B1	label_permutation	32	0.2745650622799758	0.3939393939393939	-0.4053251567470448	0.7272727272727273
ENSMUSG00000024982.11:B1	wild_cluster	32	0.2745650622799758	0.15151515151515152	-0.4053251567470448	0.12121212121212122
ENSMUSG00000024985.21:B1	label_permutation	32	8.687990768999555	0.36363636363636365	-0.3412127899741213	0.36363636363636365
ENSMUSG00000024985.21:B1	wild_cluster	32	8.687990768999555	0.12121212121212122	-0.3412127899741213	0.15151515151515152
ENSMUSG00000024985.21:B2	label_permutation	32	14.150589166379728	0.030303030303030304	1.783621919159651	0.030303030303030304
ENSMUSG00000024985.21:B2	wild_cluster	32	14.150589166379728	0.030303030303030304	1.783621919159651	0.030303030303030304
ENSMUSG00000025006.19:B1	label_permutation	32	7.824082318791852	0.30303030303030304	-1.1891553533362749	0.18181818181818182
ENSMUSG00000025006.19:B1	wild_cluster	32	7.824082318791852	0.21212121212121213	-1.1891553533362749	0.30303030303030304
ENSMUSG00000025006.19:B2	label_permutation	32	3.6926448290653298	0.24242424242424243	-0.5624035240611092	0.45454545454545453
ENSMUSG00000025006.19:B2	wild_cluster	32	3.6926448290653298	0.36363636363636365	-0.5624035240611092	0.6363636363636364
ENSMUSG00000025006.19:B4	label_permutation	32	8.053247632458124	0.18181818181818182	-0.6086793527393468	0.09090909090909091
ENSMUSG00000025006.19:B4	wild_cluster	32	8.053247632458124	0.06060606060606061	-0.6086793527393468	0.030303030303030304
ENSMUSG00000025006.19:B5	label_permutation	32	2.5586812957168377	0.7272727272727273	-1.0910664935134242	0.6060606060606061
ENSMUSG00000025006.19:B5	wild_cluster	32	2.5586812957168377	0.2727272727272727	-1.0910664935134242	0.2727272727272727
ENSMUSG00000025006.19:B7	label_permutation	32	9.515537828733954	0.45454545454545453	-0.939649289470834	0.21212121212121213
ENSMUSG00000025006.19:B7	wild_cluster	32	9.515537828733954	0.15151515151515152	-0.939649289470834	0.15151515151515152
ENSMUSG00000025006.19:B9	label_permutation	32	6.051002273468384	0.2727272727272727	-0.700815211168773	0.12121212121212122
ENSMUSG00000025006.19:B9	wild_cluster	32	6.051002273468384	0.30303030303030304	-0.700815211168773	0.12121212121212122
ENSMUSG00000025016.12:B1	label_permutation	32	4.141838513701117	0.45454545454545453	-0.7507437006166703	0.5151515151515151
ENSMUSG00000025016.12:B1	wild_cluster	32	4.141838513701117	0.2727272727272727	-0.7507437006166703	0.30303030303030304
ENSMUSG00000025019.18:B1	label_permutation	31	18.864267030749037	0.03125	-0.9054191295777674	0.03125
ENSMUSG00000025019.18:B1	wild_cluster	32	18.864267030749037	0.030303030303030304	-0.9054191295777674	0.12121212121212122
ENSMUSG00000025020.12:B1	label_permutation	32	5.867509067419178	0.06060606060606061	-1.3033795760914857	0.12121212121212122
ENSMUSG00000025020.12:B1	wild_cluster	32	5.867509067419178	0.06060606060606061	-1.3033795760914857	0.12121212121212122
ENSMUSG00000025020.12:B2	label_permutation	32	2.4417156639219684	0.9393939393939394	-1.6057165289786166	0.5454545454545454
ENSMUSG00000025020.12:B2	wild_cluster	32	2.4417156639219684	0.3939393939393939	-1.6057165289786166	0.7575757575757576
ENSMUSG00000025026.16:B3	label_permutation	32	5.381709611258216	0.3939393939393939	-0.4278377461278765	0.2727272727272727
ENSMUSG00000025026.16:B3	wild_cluster	32	5.381709611258216	0.06060606060606061	-0.4278377461278765	0.030303030303030304
ENSMUSG00000025026.16:B4	label_permutation	32	10.437419296713188	0.3939393939393939	-0.7292197081173881	0.18181818181818182
ENSMUSG00000025026.16:B4	wild_cluster	32	10.437419296713188	0.15151515151515152	-0.7292197081173881	0.15151515151515152
ENSMUSG00000025035.10:B1	label_permutation	32	1.5483700195773054e-05	1.0	-3.111635815677971e-08	0.30303030303030304
ENSMUSG00000025035.10:B1	wild_cluster	32	1.5483700195773054e-05	0.3333333333333333	-3.111635815677971e-08	0.3333333333333333
ENSMUSG00000025041.18:B1	label_permutation	32	2.856905153523485	0.24242424242424243	-0.1091085876366622	0.15151515151515152
ENSMUSG00000025041.18:B1	wild_cluster	32	2.856905153523485	0.09090909090909091	-0.1091085876366622	0.09090909090909091
ENSMUSG00000025060.16:B1	label_permutation	32	9.523312716429018	0.06060606060606061	-0.7506888938932436	0.06060606060606061
ENSMUSG00000025060.16:B1	wild_cluster	32	9.523312716429018	0.12121212121212122	-0.7506888938932436	0.12121212121212122
ENSMUSG00000025085.17:B1	label_permutation	32	43.9864561726049	0.45454545454545453	-0.2443488520900396	0.12121212121212122
ENSMUSG00000025085.17:B1	wild_cluster	32	43.9864561726049	0.15151515151515152	-0.2443488520900396	0.09090909090909091
ENSMUSG00000025092.8:B1	label_permutation	32	0.0	1.0	-4.440892098500626e-16	1.0
ENSMUSG00000025092.8:B1	wild_cluster	32	0.0	1.0	-4.440892098500626e-16	1.0
ENSMUSG00000025132.14:B1	label_permutation	32	0.0004652807873526	0.3939393939393939	-5.8836601191103455e-06	0.12121212121212122
ENSMUSG00000025132.14:B1	wild_cluster	32	0.0004652807873526	0.09090909090909091	-5.8836601191103455e-06	0.030303030303030304
ENSMUSG00000025138.15:B1	label_permutation	32	0.6207941349202883	0.42424242424242425	-0.1653442259836504	0.6060606060606061
ENSMUSG00000025138.15:B1	wild_cluster	32	0.6207941349202883	0.030303030303030304	-0.1653442259836504	0.06060606060606061
ENSMUSG00000025139.15:B1	label_permutation	32	0.0574138449420615	0.030303030303030304	-0.0741213946511913	0.030303030303030304
ENSMUSG00000025139.15:B1	wild_cluster	32	0.0574138449420615	0.030303030303030304	-0.0741213946511913	0.030303030303030304
ENSMUSG00000025142.19:B2	label_permutation	32	0.0	1.0	-2.4424906541753444e-15	1.0
