test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000097391.9:B2	label_permutation	0.4443931794521373	0.3137946908086543	6516	12	all	0.8582271683062149
ENSMUSG00000004552.17:B1	label_permutation	1.0	1.0	16954	4	all	1.0
ENSMUSG00000012422.15:B1	label_permutation	0.4331222160226865	0.20168406482496107	17338	1	all	0.751948318541327
ENSMUSG00000019831.15:B1	label_permutation	0.2097514105627436	0.0984694818366218	16268	2	all	0.6043687316872034
ENSMUSG00000020716.17:B1	label_permutation	0.102989026868181	0.07676288955909809	13925	6	all	0.5431703197915928
ENSMUSG00000021779.20:B1	label_permutation	0.023078212874882	0.00866678959985248	16268	2	all	0.19361455139774703
ENSMUSG00000022790.15:B1	label_permutation	0.682183518712552	0.312842675611172	15502	3	all	0.8582271683062149
ENSMUSG00000024576.15:B1	label_permutation	0.0120964721045802	0.08524957936062816	1782	18	all	0.5685890168572064
ENSMUSG00000025626.17:B1	label_permutation	0.8463734913725803	0.45227521771728474	17338	1	all	0.942919009515274
ENSMUSG00000026761.13:B1	label_permutation	0.804642406149549	0.5440049699730793	4828	9	all	0.9770803221143918
ENSMUSG00000027828.13:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000029787.11:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000031226.14:B1	label_permutation	0.9999954956539584	0.8074904158065468	16954	4	all	1.0
ENSMUSG00000032249.15:B1	label_permutation	0.1838123084574566	0.08888233559422	16954	4	all	0.5752269244245324
ENSMUSG00000033544.7:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000035021.14:B1	label_permutation	0.9984858191042052	0.7027510237037892	17338	1	all	1.0
ENSMUSG00000036817.15:B1	label_permutation	0.7543412170975479	0.5038310209153034	4828	9	all	0.961411525370596
ENSMUSG00000038342.16:B1	label_permutation	0.999848700982716	0.8657851838435066	5520	7	all	1.0
ENSMUSG00000039838.12:B1	label_permutation	0.9304146525344482	0.5286718699606527	15502	3	all	0.9692257845734665
ENSMUSG00000041530.18:B1	label_permutation	0.0063933159524295	0.009622289243142323	13925	6	all	0.20586159275740373
ENSMUSG00000044864.17:B1	label_permutation	0.9092023677706872	0.5593459954514721	16268	2	all	0.9837916278784535
ENSMUSG00000050390.13:B1	label_permutation	0.9832347940985002	0.6662364005163194	16268	2	all	1.0
ENSMUSG00000054920.13:B1	label_permutation	0.9516350008078076	0.6181067531701563	16954	4	all	0.9972049748008386
ENSMUSG00000059119.10:B1	label_permutation	0.999988775835028	0.8412367339427029	16300	5	all	1.0
ENSMUSG00000064043.16:B1	label_permutation	0.0049267687570608	0.008042510412178659	13925	6	all	0.18608837187036237
ENSMUSG00000074305.10:B1	label_permutation	0.4550200297972846	0.22435859628428192	16954	4	all	0.7723877156145563
ENSMUSG00000097265.3:B1	label_permutation	0.3891484013343617	0.17821096949074341	17338	1	all	0.7222042783671644
ENSMUSG00000032280.17:B2	label_permutation	0.6519807055823945	0.40140743932213124	13925	6	all	0.9234313697744209
ENSMUSG00000032280.17:B4	label_permutation	0.9915601637872392	0.7628177509694097	13925	6	all	1.0
ENSMUSG00000032280.17:B5	label_permutation	0.8881033272036234	0.47306972843965683	15502	3	all	0.9478350473038286
ENSMUSG00000021143.11:B1	label_permutation	0.3537133800541965	0.22317966393795777	13925	6	all	0.7697149263766144
ENSMUSG00000021143.11:B3	label_permutation	0.9953161087073144	0.7805543587534108	13925	6	all	1.0
ENSMUSG00000021143.11:B4	label_permutation	0.935277138482448	0.6978671167715207	6516	12	all	1.0
ENSMUSG00000031285.15:B1	label_permutation	0.7440054077856514	0.4040106163373636	16954	4	all	0.9234313697744209
ENSMUSG00000031285.15:B2	label_permutation	0.7558143134777054	0.4051263138484234	16268	2	all	0.9236369172427634
ENSMUSG00000031285.15:B4	label_permutation	0.5114649676521762	0.2491855676439855	16268	2	all	0.8011853939114073
ENSMUSG00000062785.15:B1	label_permutation	0.4384635191222407	0.3430537946024271	5520	7	all	0.8821946920425842
ENSMUSG00000062785.15:B2	label_permutation	0.95531519622797	0.7090479006505027	1690	14	all	1.0
ENSMUSG00000062785.15:B3	label_permutation	0.8144450935928608	0.5960876652780294	5520	7	all	0.9935128959734081
ENSMUSG00000023927.16:B1	label_permutation	0.4431955073485072	0.31364124597207305	6516	12	all	0.8582271683062149
ENSMUSG00000023927.16:B2	label_permutation	0.3280542136981472	0.13739276269109205	15502	3	all	0.6685750106143239
ENSMUSG00000029291.12:B1	label_permutation	0.227487474030408	0.16889860617655097	7317	10	all	0.7095683589339876
ENSMUSG00000029291.12:B2	label_permutation	0.9028620884492876	0.5551948051948052	1231	15	all	0.9825212381603361
ENSMUSG00000036257.16:B2	label_permutation	0.0180730110807737	0.02294337770688915	16300	5	all	0.3157008772467947
ENSMUSG00000046709.19:B1	label_permutation	0.3143054504876607	0.3626943005181347	192	32	all	0.8959425444792646
ENSMUSG00000046709.19:B2	label_permutation	0.28095186231078	0.25735797399041754	1460	24	all	0.8104963800599629
ENSMUSG00000097392.5:B1	label_permutation	0.877045147300681	0.6088217022157797	4828	9	all	0.9936916631782191
ENSMUSG00000097392.5:B2	label_permutation	0.9993339010404708	0.9136287156477846	1782	18	all	1.0
ENSMUSG00000004558.16:B1	label_permutation	0.2852987588856993	0.13307517364312496	16268	2	all	0.6612357517022831
ENSMUSG00000013076.18:B1	label_permutation	1.0	1.0	16300	5	all	1.0
ENSMUSG00000019841.16:B1	label_permutation	0.9675070645240204	0.6966106563262962	13925	6	all	1.0
ENSMUSG00000020721.17:B1	label_permutation	0.2058411093118727	0.14686215569596958	16300	5	all	0.6799678046529166
ENSMUSG00000021792.16:B1	label_permutation	0.7052126923990866	0.3708894215993607	16268	2	all	0.9004438074876988
ENSMUSG00000022797.17:B1	label_permutation	0.8867279191252045	0.5350052246603971	16268	2	all	0.9699259221988624
ENSMUSG00000024581.14:B1	label_permutation	0.8041172003476817	0.4529047478619876	16954	4	all	0.942919009515274
ENSMUSG00000025648.19:B1	label_permutation	0.7666584273909369	0.41723523265105417	16268	2	all	0.9294741184622418
ENSMUSG00000026782.16:B1	label_permutation	0.3558157623907421	0.2345868351634869	16300	5	all	0.7830211505709227
ENSMUSG00000027849.20:B1	label_permutation	0.9530507931998357	0.7138842046093311	8894	8	all	1.0
ENSMUSG00000028898.16:B1	label_permutation	0.9998111694196034	0.784128265759271	17338	1	all	1.0
ENSMUSG00000029802.14:B1	label_permutation	0.9803302978262296	0.6596594750752965	16268	2	all	1.0
ENSMUSG00000031229.17:B1	label_permutation	0.9536593766360868	0.723338959644008	6516	12	all	1.0
ENSMUSG00000032252.15:B1	label_permutation	0.8630329464228426	0.4485583435464104	15502	3	all	0.9426438158761136
ENSMUSG00000033577.19:B1	label_permutation	0.0072635488119515	0.01355745046316177	16300	5	all	0.24167959313042436
ENSMUSG00000035024.17:B2	label_permutation	0.7844061492194977	0.5178209925771425	16300	5	all	0.9659216190151271
ENSMUSG00000036825.13:B1	label_permutation	0.9586960028366774	0.62038232220788	16268	2	all	0.9982151444769439
ENSMUSG00000039842.16:B1	label_permutation	0.7907186396409243	0.522544629163855	16300	5	all	0.9684291676836966
ENSMUSG00000041570.15:B1	label_permutation	0.9999999999999976	0.9115391693761119	16300	5	all	1.0
ENSMUSG00000044991.11:B1	label_permutation	1.0	1.0	16954	4	all	1.0
ENSMUSG00000050447.16:B1	label_permutation	0.9715037553800258	0.6615747567089354	16954	4	all	1.0
ENSMUSG00000054942.14:B1	label_permutation	0.0009855451102031	0.008198961464881116	7317	10	all	0.18707018199463443
ENSMUSG00000059146.13:B1	label_permutation	0.0197614705608658	0.08042578356002365	1690	14	all	0.5590883281907384
ENSMUSG00000064061.14:B1	label_permutation	0.90996955494631	0.5049990324453332	15502	3	all	0.961411525370596
ENSMUSG00000074505.7:B1	label_permutation	0.5968696137328594	0.4486506067741351	5520	7	all	0.9426438158761136
ENSMUSG00000097290.10:B1	label_permutation	0.9999303574941292	0.8753365085939118	4828	9	all	1.0
ENSMUSG00000032511.18:B1	label_permutation	0.9982704474309124	0.6872945383240094	17338	1	all	1.0
ENSMUSG00000032511.18:B2	label_permutation	0.9983018078897542	0.6882749870234731	17338	1	all	1.0
ENSMUSG00000032511.18:B3	label_permutation	0.9999414534914012	0.7918565084491609	17338	1	all	1.0
ENSMUSG00000032511.18:B4	label_permutation	0.9996934401718464	0.7425779089065093	16268	2	all	1.0
ENSMUSG00000021189.12:B1	label_permutation	0.9999948182082652	0.7357285686641295	15502	3	all	1.0
ENSMUSG00000021189.12:B2	label_permutation	1.0	1.0	15502	3	all	1.0
ENSMUSG00000021189.12:B3	label_permutation	1.0	1.0	13925	6	all	1.0
ENSMUSG00000031302.17:B1	label_permutation	1.0	1.0	7317	10	all	1.0
ENSMUSG00000031302.17:B2	label_permutation	1.0	1.0	16300	5	all	1.0
ENSMUSG00000031302.17:B3	label_permutation	1.0	1.0	16300	5	all	1.0
ENSMUSG00000063626.7:B1	label_permutation	0.244650934383772	0.10191575824034058	15502	3	all	0.6101302153290536
ENSMUSG00000063626.7:B4	label_permutation	0.3002905611435741	0.12623363220021933	15502	3	all	0.6488698887349205
ENSMUSG00000063626.7:B5	label_permutation	0.4874822632143715	0.2106043991485519	15502	3	all	0.7595345749938097
ENSMUSG00000024012.19:B1	label_permutation	0.9999999995671848	0.8826678707346965	15502	3	all	1.0
ENSMUSG00000024012.19:B2	label_permutation	0.9912767967552684	0.6563245823389021	15502	3	all	1.0
ENSMUSG00000036510.18:B1	label_permutation	0.9689047058137378	0.6546151577705691	16954	4	all	1.0
ENSMUSG00000036510.18:B2	label_permutation	0.9999999999991016	0.9426253051845469	13925	6	all	1.0
ENSMUSG00000046873.19:B1	label_permutation	0.9999999959326896	0.8443527059278849	15502	3	all	1.0
ENSMUSG00000013150.16:B1	label_permutation	0.9999956666108838	0.7373411597755273	15502	3	all	1.0
ENSMUSG00000019852.8:B1	label_permutation	0.6961547338495401	0.46363125351320966	8894	8	all	0.9467902147974223
ENSMUSG00000020741.18:B1	label_permutation	0.0520105144270642	0.027661456797404897	16954	4	all	0.3542178217821782
ENSMUSG00000021816.12:B1	label_permutation	0.5058424838797999	0.3223728605607018	16300	5	all	0.863156174789234
ENSMUSG00000022807.10:B1	label_permutation	1.0	1.0	15502	3	all	1.0
ENSMUSG00000024587.11:B1	label_permutation	0.1954310858765424	0.140604870866818	16300	5	all	0.6711975082960091
ENSMUSG00000025656.18:B1	label_permutation	0.6490045186060638	0.5088495575221239	225	40	all	0.9622490126004959
ENSMUSG00000026784.15:B1	label_permutation	0.999999999755808	0.8615157770569154	16954	4	all	1.0
ENSMUSG00000027854.13:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000028909.18:B1	label_permutation	0.9265640672550428	0.5774107932763197	16954	4	all	0.9909860775045339
