null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	77	6-10	4	0.5	0.5	0.5
label_permutation	78	6-10	3	0.3333333333333333	0.3333333333333333	1.0
label_permutation	80	6-10	1	1.0	1.0	8.828100720583116e-17
wild_cluster	1	1-5	3605	0.3828016643550624	0.3361997226074896	0.20929022457835
wild_cluster	1	11-20	7594	0.35238346062681064	0.2953647616539373	0.21814843537835585
wild_cluster	1	6-10	4554	0.3557312252964427	0.2920509442248573	0.23595026210030046
wild_cluster	1	>20	2608	0.4401840490797546	0.3830521472392638	0.10750447782506276
wild_cluster	2	1-5	1639	0.4008541793776693	0.3270286760219646	0.1927841877582453
wild_cluster	2	11-20	7523	0.3853515884620497	0.3062608002126811	0.1728794336832848
wild_cluster	2	6-10	2762	0.3736422881969587	0.2979724837074584	0.16054923223284134
wild_cluster	2	>20	5012	0.4379489225857941	0.35734237829209897	0.1118952294548817
wild_cluster	3	1-5	302	0.41721854304635764	0.3344370860927152	0.11866224027626429
wild_cluster	3	11-20	5010	0.3966067864271457	0.3083832335329341	0.13718542725388694
wild_cluster	3	6-10	1167	0.45158526135389887	0.3838903170522708	0.0973781805138641
wild_cluster	3	>20	9182	0.4726639076453932	0.39479416249183186	0.07515198497341095
wild_cluster	4	1-5	198	0.8080808080808081	0.7323232323232324	0.0002117812845752
wild_cluster	4	11-20	4259	0.5534162949049073	0.45057525240666824	0.0237177133238358
wild_cluster	4	6-10	797	0.7051442910915935	0.6185696361355082	3.3395266756953645e-05
wild_cluster	4	>20	11835	0.5095901985635826	0.42779890156316014	0.0427332509091832
wild_cluster	5	1-5	49	0.8775510204081632	0.7142857142857143	0.0006583246250739
wild_cluster	5	11-20	2293	0.5651984300043611	0.4762320104666376	0.0187679995850368
wild_cluster	5	6-10	64	0.609375	0.515625	0.00817196705239875
wild_cluster	5	>20	13414	0.528477709855375	0.43462054569852393	0.034149449602000295
wild_cluster	6	1-5	159	0.660377358490566	0.5345911949685535	0.0064063220767833
wild_cluster	6	11-20	2345	0.7948827292110874	0.71727078891258	3.6609735006144586e-05
wild_cluster	6	6-10	609	0.7520525451559934	0.7208538587848933	1.0105939362870004e-07
wild_cluster	6	>20	10842	0.6693414499169895	0.565947242206235	0.00178384974562775
wild_cluster	7	1-5	3	0.3333333333333333	0.3333333333333333	1.0
wild_cluster	7	11-20	64	1.0	0.984375	2.1234203539288118e-20
wild_cluster	7	6-10	31	0.3548387096774194	0.0967741935483871	0.1086034733404941
wild_cluster	7	>20	5518	0.7038782167451976	0.6217832548024647	0.00044233810688280005
wild_cluster	8	1-5	81	0.5679012345679012	0.5679012345679012	7.318169183563533e-05
wild_cluster	8	11-20	1216	0.8478618421052632	0.8026315789473685	4.9378578573274333e-08
wild_cluster	8	6-10	195	0.8871794871794871	0.8717948717948718	1.3823540391515912e-08
wild_cluster	8	>20	7349	0.7530276228058239	0.675329976867601	2.6745990355367462e-05
wild_cluster	9	1-5	12	0.5833333333333334	0.5833333333333334	9.23257776543784e-06
wild_cluster	9	11-20	640	0.8296875	0.8109375	2.5954708707249487e-13
wild_cluster	9	6-10	82	0.975609756097561	0.975609756097561	9.990338719589508e-16
wild_cluster	9	>20	4307	0.8068260970513118	0.740190387740887	1.2207633864436464e-07
wild_cluster	10	11-20	1024	0.8486328125	0.8193359375	6.089825509463739e-10
wild_cluster	10	6-10	75	0.6933333333333334	0.6933333333333334	1.48665527717415e-20
wild_cluster	10	>20	6364	0.8340666247642992	0.767127592708988	3.4924414193729996e-08
wild_cluster	11	11-20	77	0.8961038961038961	0.8441558441558441	4.034705109551242e-09
wild_cluster	11	>20	1487	0.9098856758574311	0.8601210490921318	2.1238696021413703e-09
wild_cluster	12	1-5	64	0.765625	0.765625	5.508842007087549e-09
wild_cluster	12	11-20	787	0.9072426937738246	0.8919949174078781	5.5319016308764845e-18
wild_cluster	12	6-10	32	1.0	1.0	7.356262538737795e-07
wild_cluster	12	>20	5122	0.9320577899258102	0.8883248730964467	1.6046355821183744e-12
wild_cluster	13	>20	32	1.0	0.9375	3.368252245233436e-13
wild_cluster	14	>20	1664	0.9627403846153846	0.9344951923076923	7.272319654250445e-21
wild_cluster	15	1-5	32	0.6875	0.6875	1.64561119556282e-06
wild_cluster	15	11-20	417	0.7697841726618705	0.7649880095923262	2.7944419500590846e-16
wild_cluster	15	>20	864	0.9363425925925926	0.90625	1.941835800913586e-18
wild_cluster	16	1-5	32	0.375	0.375	1.0
wild_cluster	16	11-20	159	0.7924528301886793	0.7924528301886793	9.456874371160976e-26
wild_cluster	16	>20	1504	0.9847074468085106	0.9747340425531915	1.5103422293725802e-18
wild_cluster	17	11-20	32	0.53125	0.53125	4.8794697876159945e-24
wild_cluster	18	11-20	64	1.0	1.0	2.5174360721293186e-16
wild_cluster	18	>20	1696	0.9758254716981132	0.9705188679245284	2.0528968688164084e-24
wild_cluster	19	11-20	37	0.9459459459459459	0.9459459459459459	9.129669071599198e-40
wild_cluster	20	11-20	124	0.8790322580645161	0.8709677419354839	2.55374001963e-34
wild_cluster	20	>20	832	0.9507211538461539	0.9459134615384616	3.258795292048501e-27
wild_cluster	21	11-20	63	0.6190476190476191	0.6190476190476191	1.4036345598615804e-08
wild_cluster	21	>20	288	0.9618055555555556	0.9548611111111112	7.83389008030761e-22
wild_cluster	22	11-20	11	0.36363636363636365	0.36363636363636365	1.0
wild_cluster	22	>20	440	0.9977272727272727	0.9977272727272727	1.3620424575686557e-37
wild_cluster	23	11-20	17	0.6470588235294118	0.6470588235294118	1.027856008800165e-46
wild_cluster	23	>20	83	0.8674698795180723	0.8674698795180723	1.4734218869174074e-41
wild_cluster	24	11-20	35	0.6285714285714286	0.6285714285714286	5.24846625444164e-29
