subject	cell_type	primer	cells
B_2	EX_hippocampus_pyramidal	poly(dT)	20
B_2	EX_hippocampus_pyramidal	random hexamer	20
B_2	EX_thalamus	poly(dT)	6
B_2	EX_thalamus	random hexamer	10
B_2	INH_medium_spiny	poly(dT)	84
B_2	INH_medium_spiny	random hexamer	86
B_2	INH_midbrain	poly(dT)	98
B_2	INH_midbrain	random hexamer	90
B_2	INH_migrating_interneuron	poly(dT)	50
B_2	INH_migrating_interneuron	random hexamer	46
B_2	ODC	poly(dT)	76
B_2	ODC	random hexamer	82
B_3	ASC	poly(dT)	60
B_3	ASC	random hexamer	60
B_3	EX_cerebellum_granule	poly(dT)	24
B_3	EX_cerebellum_granule	random hexamer	20
B_3	EX_cortical	poly(dT)	282
B_3	EX_cortical	random hexamer	254
B_3	EX_hippocampus_granule	poly(dT)	4
B_3	EX_hippocampus_granule	random hexamer	4
B_3	EX_hippocampus_pyramidal	poly(dT)	20
B_3	EX_hippocampus_pyramidal	random hexamer	14
B_3	EX_thalamus	poly(dT)	10
B_3	EX_thalamus	random hexamer	8
B_3	INH_medium_spiny	poly(dT)	58
B_3	INH_medium_spiny	random hexamer	44
B_3	INH_midbrain	poly(dT)	46
B_3	INH_midbrain	random hexamer	64
B_3	INH_migrating_interneuron	poly(dT)	36
B_3	INH_migrating_interneuron	random hexamer	42
B_3	ODC	poly(dT)	24
B_3	ODC	random hexamer	28
B_4	ASC	poly(dT)	16
B_4	ASC	random hexamer	26
B_4	EX_cerebellum_granule	poly(dT)	12
B_4	EX_cerebellum_granule	random hexamer	14
B_4	EX_cortical	poly(dT)	46
B_4	EX_cortical	random hexamer	36
B_4	EX_hippocampus_granule	poly(dT)	2
B_4	EX_hippocampus_pyramidal	poly(dT)	4
B_4	EX_hippocampus_pyramidal	random hexamer	6
B_4	EX_thalamus	poly(dT)	2
B_4	INH_medium_spiny	poly(dT)	6
B_4	INH_medium_spiny	random hexamer	6
B_4	INH_midbrain	poly(dT)	40
B_4	INH_midbrain	random hexamer	22
B_4	INH_migrating_interneuron	poly(dT)	40
B_4	INH_migrating_interneuron	random hexamer	20
B_4	ODC	poly(dT)	36
B_4	ODC	random hexamer	20
B_5	ASC	poly(dT)	54
B_5	ASC	random hexamer	66
B_5	EX_cerebellum_granule	poly(dT)	84
B_5	EX_cerebellum_granule	random hexamer	108
B_5	EX_cortical	poly(dT)	116
B_5	EX_cortical	random hexamer	94
B_5	EX_hippocampus_granule	poly(dT)	4
B_5	EX_hippocampus_granule	random hexamer	4
B_5	EX_hippocampus_pyramidal	poly(dT)	6
B_5	EX_hippocampus_pyramidal	random hexamer	12
B_5	EX_thalamus	poly(dT)	10
B_5	EX_thalamus	random hexamer	2
B_5	INH_medium_spiny	poly(dT)	26
B_5	INH_medium_spiny	random hexamer	52
B_5	INH_midbrain	poly(dT)	30
B_5	INH_midbrain	random hexamer	48
B_5	INH_migrating_interneuron	poly(dT)	30
B_5	INH_migrating_interneuron	random hexamer	28
B_5	ODC	poly(dT)	38
B_5	ODC	random hexamer	32
B_6	ASC	poly(dT)	22
B_6	ASC	random hexamer	22
B_6	EX_cerebellum_granule	poly(dT)	18
B_6	EX_cerebellum_granule	random hexamer	2
B_6	EX_cortical	poly(dT)	102
B_6	EX_cortical	random hexamer	88
B_6	EX_hippocampus_granule	poly(dT)	2
B_6	EX_hippocampus_granule	random hexamer	6
B_6	EX_hippocampus_pyramidal	poly(dT)	10
B_6	EX_hippocampus_pyramidal	random hexamer	6
B_6	EX_thalamus	poly(dT)	12
B_6	EX_thalamus	random hexamer	14
B_6	INH_medium_spiny	poly(dT)	32
B_6	INH_medium_spiny	random hexamer	50
B_6	INH_midbrain	poly(dT)	32
B_6	INH_midbrain	random hexamer	22
B_6	INH_migrating_interneuron	poly(dT)	48
B_6	INH_migrating_interneuron	random hexamer	30
B_6	ODC	poly(dT)	16
B_6	ODC	random hexamer	14
B_7	ASC	poly(dT)	14
B_7	ASC	random hexamer	28
B_7	EX_cerebellum_granule	poly(dT)	20
B_7	EX_cerebellum_granule	random hexamer	26
B_7	EX_cortical	poly(dT)	232
B_7	EX_cortical	random hexamer	244
B_7	EX_hippocampus_granule	poly(dT)	12
B_7	EX_hippocampus_granule	random hexamer	4
B_7	EX_hippocampus_pyramidal	poly(dT)	26
B_7	EX_hippocampus_pyramidal	random hexamer	16
B_7	EX_thalamus	poly(dT)	6
B_7	EX_thalamus	random hexamer	8
B_7	INH_medium_spiny	poly(dT)	30
B_7	INH_medium_spiny	random hexamer	66
B_7	INH_midbrain	poly(dT)	36
B_7	INH_midbrain	random hexamer	42
B_7	INH_migrating_interneuron	poly(dT)	36
B_7	INH_migrating_interneuron	random hexamer	46
B_7	ODC	poly(dT)	14
B_7	ODC	random hexamer	28
B_8	ASC	poly(dT)	36
B_8	ASC	random hexamer	64
B_8	EX_cerebellum_granule	poly(dT)	14
B_8	EX_cerebellum_granule	random hexamer	16
B_8	EX_cortical	poly(dT)	214
B_8	EX_cortical	random hexamer	192
B_8	EX_hippocampus_granule	poly(dT)	22
B_8	EX_hippocampus_granule	random hexamer	22
B_8	EX_hippocampus_pyramidal	poly(dT)	6
B_8	EX_hippocampus_pyramidal	random hexamer	6
B_8	EX_thalamus	poly(dT)	10
B_8	EX_thalamus	random hexamer	12
B_8	INH_medium_spiny	poly(dT)	70
B_8	INH_medium_spiny	random hexamer	62
B_8	INH_midbrain	poly(dT)	56
B_8	INH_midbrain	random hexamer	40
B_8	INH_migrating_interneuron	poly(dT)	56
B_8	INH_migrating_interneuron	random hexamer	66
B_8	ODC	poly(dT)	34
B_8	ODC	random hexamer	42
C_1	ASC	poly(dT)	28
C_1	ASC	random hexamer	42
C_1	EX_cerebellum_granule	poly(dT)	6
C_1	EX_cerebellum_granule	random hexamer	12
C_1	EX_cortical	poly(dT)	164
C_1	EX_cortical	random hexamer	142
C_1	EX_hippocampus_granule	poly(dT)	10
C_1	EX_hippocampus_granule	random hexamer	6
C_1	EX_hippocampus_pyramidal	poly(dT)	16
C_1	EX_hippocampus_pyramidal	random hexamer	18
C_1	EX_thalamus	poly(dT)	10
C_1	EX_thalamus	random hexamer	14
C_1	INH_medium_spiny	poly(dT)	40
C_1	INH_medium_spiny	random hexamer	20
C_1	INH_midbrain	poly(dT)	36
C_1	INH_midbrain	random hexamer	40
C_1	INH_migrating_interneuron	poly(dT)	90
C_1	INH_migrating_interneuron	random hexamer	98
C_1	ODC	poly(dT)	40
C_1	ODC	random hexamer	50
C_2	ASC	poly(dT)	54
C_2	ASC	random hexamer	48
C_2	EX_cerebellum_granule	poly(dT)	24
C_2	EX_cerebellum_granule	random hexamer	28
C_2	EX_cortical	poly(dT)	372
C_2	EX_cortical	random hexamer	371
C_2	EX_hippocampus_granule	poly(dT)	12
