event	subject	cell_type	primer	spliced_umis
Agtpbp1	D_1	INH_medium_spiny	poly(dT)	2
Agtpbp1	D_1	INH_midbrain	random hexamer	1
Agtpbp1	D_1	INH_migrating_interneuron	random hexamer	6
Agtpbp1	D_2	ASC	poly(dT)	6
Agtpbp1	D_2	ASC	random hexamer	2
Agtpbp1	D_2	EX_cerebellum_granule	poly(dT)	3
Agtpbp1	D_2	EX_cerebellum_granule	random hexamer	5
Agtpbp1	D_2	EX_cortical	poly(dT)	20
Agtpbp1	D_2	EX_cortical	random hexamer	30
Agtpbp1	D_2	EX_hippocampus_granule	random hexamer	6
Agtpbp1	D_2	EX_hippocampus_pyramidal	poly(dT)	4
Agtpbp1	D_2	EX_hippocampus_pyramidal	random hexamer	2
Agtpbp1	D_2	EX_thalamus	poly(dT)	3
Agtpbp1	D_2	EX_thalamus	random hexamer	11
Agtpbp1	D_2	INH_medium_spiny	poly(dT)	2
Agtpbp1	D_2	INH_midbrain	poly(dT)	5
Agtpbp1	D_2	INH_midbrain	random hexamer	8
Agtpbp1	D_2	INH_migrating_interneuron	poly(dT)	5
Agtpbp1	D_2	INH_migrating_interneuron	random hexamer	14
Agtpbp1	D_2	ODC	poly(dT)	4
Agtpbp1	D_2	ODC	random hexamer	9
Agtpbp1	D_3	ASC	poly(dT)	5
Agtpbp1	D_3	EX_cortical	poly(dT)	3
Agtpbp1	D_3	EX_cortical	random hexamer	1
Agtpbp1	D_3	EX_hippocampus_granule	random hexamer	2
Agtpbp1	D_3	INH_medium_spiny	poly(dT)	2
Agtpbp1	D_3	INH_midbrain	poly(dT)	3
Agtpbp1	D_3	INH_midbrain	random hexamer	5
Agtpbp1	D_3	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	D_3	ODC	poly(dT)	2
Agtpbp1	D_4	EX_cortical	poly(dT)	1
Agtpbp1	D_4	EX_cortical	random hexamer	1
Agtpbp1	D_4	INH_medium_spiny	random hexamer	1
Agtpbp1	D_5	EX_cerebellum_granule	poly(dT)	7
Agtpbp1	D_5	EX_cortical	poly(dT)	4
Agtpbp1	D_5	EX_cortical	random hexamer	8
Agtpbp1	D_5	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	D_5	INH_medium_spiny	random hexamer	4
