test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000021288.20:B1	junction	random hexamer	1	-0.6571428571428573
ENSMUSG00000021488.9:B1	exon	poly(dT)	2	-0.45615122580178913
ENSMUSG00000021488.9:B1	junction	poly(dT)	2	-0.297651691155779
ENSMUSG00000021488.9:B2	exon	poly(dT)	1	0.5428571428571429
ENSMUSG00000021488.9:B2	exon	random hexamer	1	-0.5
ENSMUSG00000021488.9:B2	junction	poly(dT)	1	0.08571428571428573
ENSMUSG00000021488.9:B2	junction	random hexamer	1	-0.5
ENSMUSG00000021488.9:B3	exon	poly(dT)	24	-0.21168664767069056
ENSMUSG00000021488.9:B3	exon	random hexamer	22	0.4772727272727273
ENSMUSG00000021488.9:B3	junction	poly(dT)	22	-0.24613467228740518
ENSMUSG00000021488.9:B3	junction	random hexamer	19	0.3684210526315789
ENSMUSG00000021557.16:B1	exon	poly(dT)	2	-0.009698277504679331
ENSMUSG00000021700.11:B1	exon	poly(dT)	2	0.0
ENSMUSG00000021700.11:B1	junction	poly(dT)	2	-0.5
ENSMUSG00000021843.18:B1	exon	poly(dT)	1	-0.7
ENSMUSG00000021843.18:B1	exon	random hexamer	1	-1.0
ENSMUSG00000021843.18:B2	exon	poly(dT)	1	1.0
ENSMUSG00000021843.18:B2	junction	poly(dT)	3	0.8333333333333334
ENSMUSG00000021843.18:B3	exon	poly(dT)	1	1.0
ENSMUSG00000021843.18:B3	junction	poly(dT)	3	0.3333333333333333
ENSMUSG00000021843.18:B4	exon	poly(dT)	1	0.39999999999999997
ENSMUSG00000021843.18:B4	junction	poly(dT)	3	0.5333333333333333
ENSMUSG00000021843.18:B5	exon	poly(dT)	1	0.8999999999999998
ENSMUSG00000021843.18:B5	junction	poly(dT)	3	0.43939494881986924
ENSMUSG00000022099.18:B1	exon	random hexamer	3	-0.033333333333333326
ENSMUSG00000022099.18:B1	junction	random hexamer	1	0.49999999999999994
ENSMUSG00000022185.20:B1	exon	poly(dT)	3	0.5
ENSMUSG00000022185.20:B1	exon	random hexamer	3	-0.3333333333333333
ENSMUSG00000022185.20:B1	junction	poly(dT)	2	-0.5
ENSMUSG00000022185.20:B1	junction	random hexamer	2	0.75
ENSMUSG00000022185.20:B4	exon	random hexamer	1	-0.632455532033676
ENSMUSG00000022194.16:B1	exon	random hexamer	3	0.6666666666666666
ENSMUSG00000022194.16:B1	junction	random hexamer	1	0.39999999999999997
ENSMUSG00000022194.16:B3	exon	poly(dT)	4	0.4999999999999999
ENSMUSG00000022194.16:B3	exon	random hexamer	4	0.5749999999999998
ENSMUSG00000022194.16:B3	junction	poly(dT)	1	-0.09999999999999999
ENSMUSG00000022194.16:B3	junction	random hexamer	1	0.7999999999999999
ENSMUSG00000022456.19:B2	exon	random hexamer	1	0.39999999999999997
ENSMUSG00000022456.19:B2	junction	random hexamer	1	-0.6708203932499368
ENSMUSG00000022477.14:B1	exon	random hexamer	1	-0.8999999999999998
ENSMUSG00000022477.14:B2	exon	random hexamer	18	0.557606327377517
ENSMUSG00000022477.14:B2	junction	random hexamer	16	0.6392857142857143
ENSMUSG00000022489.7:B1	exon	random hexamer	3	0.3333333333333333
ENSMUSG00000022489.7:B1	junction	random hexamer	2	0.6
ENSMUSG00000022558.17:B1	exon	random hexamer	1	-1.0
ENSMUSG00000022558.17:B1	junction	random hexamer	1	-1.0
ENSMUSG00000022623.18:B1	exon	random hexamer	12	0.06576512411017567
ENSMUSG00000022623.18:B1	junction	random hexamer	13	-0.07775527005214555
ENSMUSG00000022623.18:B2	exon	random hexamer	1	0.19999999999999998
ENSMUSG00000022629.18:B1	exon	poly(dT)	1	-1.0
ENSMUSG00000022629.18:B1	exon	random hexamer	1	0.6
ENSMUSG00000022812.15:B1	exon	poly(dT)	1	0.028571428571428574
ENSMUSG00000022892.12:B1	exon	random hexamer	1	0.7142857142857144
ENSMUSG00000022961.19:B1	exon	poly(dT)	1	-0.2727272727272727
ENSMUSG00000022961.19:B1	exon	random hexamer	1	-0.3
ENSMUSG00000022961.19:B3	exon	poly(dT)	3	-0.5333333333333332
ENSMUSG00000022961.19:B3	exon	random hexamer	3	-0.2666666666666666
ENSMUSG00000022961.19:B3	junction	poly(dT)	3	-0.41573786516665256
ENSMUSG00000022961.19:B3	junction	random hexamer	3	0.2666666666666668
ENSMUSG00000023033.15:B1	exon	random hexamer	2	-0.15
ENSMUSG00000023033.15:B1	junction	random hexamer	2	0.05000000000000002
ENSMUSG00000024044.20:B1	exon	random hexamer	2	-0.5
ENSMUSG00000024044.20:B1	junction	random hexamer	1	-0.5
ENSMUSG00000024044.20:B4	exon	random hexamer	1	-0.5
