test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000071324.12:B1	wild_cluster	5.533157883314954e-06	0.07617286026568018	5946	4	>20	0.46806602920037493
ENSMUSG00000078816.11:B1	wild_cluster	0.0605379851504504	0.41540091840339105	2830	7	>20	0.723551920436033
ENSMUSG00000089824.11:B1	wild_cluster	0.9853219928441194	0.9235207100591716	6759	5	>20	0.9929284417390615
ENSMUSG00000109160.2:B1	wild_cluster	6.099530796555155e-154	0.011841567986933442	2448	2	>20	0.4062768507212951
ENSMUSG00000026150.15:B1	wild_cluster	0.0001337601138093	0.05527043031977892	2532	3	11-20	0.452113975360941
ENSMUSG00000026150.15:B2	wild_cluster	0.9311376463467942	0.8086124401913876	3761	1	11-20	0.9414948370502108
ENSMUSG00000026150.15:B3	wild_cluster	0.994933781191582	0.9417293233082706	3723	2	11-20	1.0
ENSMUSG00000026150.15:B4	wild_cluster	0.8099961844896879	0.6828678839957035	3723	2	11-20	0.8781111384326008
ENSMUSG00000038677.15:B1	wild_cluster	0.0271544028315407	0.12147793726741095	3761	1	11-20	0.5076082736792651
ENSMUSG00000038677.15:B3	wild_cluster	0.8613217171622126	0.7102604997341839	3761	1	11-20	0.8893585573077685
ENSMUSG00000038677.15:B4	wild_cluster	0.0317062798671023	0.12280701754385964	3761	1	11-20	0.5093713045309488
ENSMUSG00000038677.15:B5	wild_cluster	0.0821186213829442	0.15467239527389903	3723	2	11-20	0.5505454830192983
ENSMUSG00000014602.16:B1	wild_cluster	9.153062475561765e-22	0.4595744680851064	704	24	>20	0.7499622094925242
ENSMUSG00000014602.16:B2	wild_cluster	0.0047208171259031	0.5603576751117735	2683	12	>20	0.8104078160341552
ENSMUSG00000014602.16:B4	wild_cluster	1.4327331591999982e-08	0.25447093889716843	2683	12	>20	0.6185516545054549
ENSMUSG00000023328.15:B1	wild_cluster	1.6100044685619752e-05	0.060836501901140684	788	2	1-5	0.4608847075722556
ENSMUSG00000023328.15:B2	wild_cluster	0.6802812564633876	0.4617958728388176	1792	1	1-5	0.7505018309667036
ENSMUSG00000023328.15:B3	wild_cluster	0.0025129020096444	0.1271611823759063	1792	1	1-5	0.5147765723648514
ENSMUSG00000028760.17:B1	wild_cluster	5.775081487862344e-05	0.31705025833724754	2128	9	>20	0.6694000889983547
ENSMUSG00000028760.17:B2	wild_cluster	0.0004442046100477	0.3485204321277595	2128	9	>20	0.6875075072747915
ENSMUSG00000028760.17:B3	wild_cluster	3.5271351990641446e-38	0.2	144	27	>20	0.5814886731391586
ENSMUSG00000035168.17:B1	wild_cluster	1.1698669558360237e-21	0.33573141486810554	416	20	>20	0.6793268088232117
ENSMUSG00000035168.17:B2	wild_cluster	0.0090575305377477	0.4336963484945548	3121	10	>20	0.7338598867500261
ENSMUSG00000035168.17:B3	wild_cluster	0.0744034957049233	0.5714285714285714	3121	10	>20	0.8192968856869272
ENSMUSG00000049281.17:B1	wild_cluster	0.0271222242393557	0.6386292834890965	320	9	11-20	0.8538030671472545
ENSMUSG00000049281.17:B2	wild_cluster	0.0142978526373317	0.09988156336360048	2532	3	11-20	0.4808925487948958
ENSMUSG00000049281.17:B3	wild_cluster	0.8383815931546142	0.7011448874851954	2532	3	11-20	0.8867992710590356
ENSMUSG00000002985.17:B1	wild_cluster	1.0216485211256551e-25	0.14687882496940025	816	18	>20	0.539851114066609
ENSMUSG00000002985.17:B2	wild_cluster	5.431497691802539e-29	0.09253170502583373	2128	9	>20	0.4808925487948958
ENSMUSG00000019467.16:B1	wild_cluster	0.7608822226731815	0.640742202921437	2532	3	11-20	0.8545100124047492
ENSMUSG00000022246.15:B1	wild_cluster	0.5464430407068652	0.48019599836668025	2448	2	>20	0.7633688691677389
ENSMUSG00000022246.15:B2	wild_cluster	0.0480270212230182	0.23664749383730485	1216	1	>20	0.6081353216917468
ENSMUSG00000025969.16:B1	wild_cluster	0.1966231645077217	0.37888198757763975	1126	5	11-20	0.7044058430459975
ENSMUSG00000025969.16:B2	wild_cluster	1.322331133803616e-19	0.3113207547169811	211	15	11-20	0.6639478272410818
ENSMUSG00000028546.18:B2	wild_cluster	0.0184776667080284	0.16277114511518412	5946	4	>20	0.5568066738432305
ENSMUSG00000030779.17:B1	wild_cluster	8.110711845048358e-07	0.7482014388489209	416	20	>20	0.9112073250910024
ENSMUSG00000030779.17:B2	wild_cluster	0.0358978584416468	0.5121716848174247	3121	10	>20	0.7798899010847022
ENSMUSG00000033419.17:B1	wild_cluster	0.0516046911204413	0.4083362769339456	2830	7	>20	0.7195945688455408
ENSMUSG00000033419.17:B4	wild_cluster	6.064648146840536e-31	0.06464146944542565	2830	7	>20	0.4608847075722556
