test_id	block_id	gene_id	contrast	cell_type	level_a	level_b	method	latent_space	pairwise_null_seed	n_paths	n_isoforms	n_original_isoforms	n_ecs	n_samples	n_test_levels	degrees_of_freedom	median_gene_umis	statistic	lrt_p_value	bic_log_bayes_factor	null_converged	alternative_converged	null_objective	alternative_objective	alternative_observation_noise_sd	null_random_effect_sd	alternative_random_effect_sd	alternative_concentration	null_iterations	alternative_iterations	null_cavi_iterations	alternative_cavi_iterations	null_gradient_norm	alternative_gradient_norm	null_scaled_gradient_norm	alternative_scaled_gradient_norm	null_optimizer_scale	alternative_optimizer_scale	null_mode_score_norm	alternative_mode_score_norm	null_mode_steps	alternative_mode_steps	null_attempts	alternative_attempts	alternative_reused	null_warm_start	null_optimizer	alternative_optimizer	null_objective_evaluations	alternative_objective_evaluations	null_objective_evaluation_seconds	alternative_objective_evaluation_seconds	null_optimizer_seconds	alternative_optimizer_seconds
ENSMUSG00000039068.17:B1	ENSMUSG00000039068.17:B1	ENSMUSG00000039068.17	cell_type				laplace_multinomial	isoform		2	2	2	12	32	3	2	13.0	3.4169446168139075	0.1811423109315459	-1.5873645575973754	True	True	815.9082703737403	814.1997980653333	0.0	0.00033546262790251185	0.00033546262790251185	inf	17	16			0.0012490874308529458	0.007731816097708488	1.3770692539246613e-06	9.476330095498114e-06	907.062173738201	815.9082703737403	7.979727989493313e-17	1.1102230246251565e-16	12	12	1	1	False	default	lbfgs	lbfgs	28	21	4.668593374080956	4.0295017175376415	0.054700352251529694	0.04697495326399803
ENSMUSG00000039234.12:B1	ENSMUSG00000039234.12:B1	ENSMUSG00000039234.12	cell_type				laplace_multinomial	isoform		2	3	3	6	69	5	4	16.0	0.0	1.0	-7.275172319452771	True	True	1444.5773889654793	1444.5773889743336	0.0	0.7994808891167401	0.7994808891167401	inf	44	0			0.00828397978948292	0.007506272030697536	4.617280050810787e-06	5.1961716194568675e-06	1794.1254804391315	1444.5773889743336	3.996807970848247e-15	2.896041939817775e-07	12	12	1	1	False	default	lbfgs	lbfgs	52	3	4.900227050296962	4.431072519160807	0.19539540633559227	0.005724186077713966
ENSMUSG00000040479.13:B2	ENSMUSG00000040479.13:B2	ENSMUSG00000040479.13	cell_type				laplace_multinomial	isoform		3	4	4	12	187	10	18	23.0	44.86809809512488	0.00043298353683674006	-12.217279367828084	True	True	13635.287779248687	13612.853730201125	0.0	0.0003559088074919547	0.0003558883076203468	inf	68	75			0.13238959484336746	0.1286083719962135	9.45570596495763e-06	9.432024763858699e-06	14001.027034258112	13635.287779248687	1.2989609388114332e-14	1.2656542480726785e-14	12	12	1	1	False	default	lbfgs	lbfgs	75	84	7.302547893486917	5.493748011998832	0.48517785407602787	0.5356615958735347
ENSMUSG00000043987.19:B1	ENSMUSG00000043987.19:B1	ENSMUSG00000043987.19	cell_type				laplace_multinomial	isoform		2	2	2	6	75	4	3	17.0	5.895410880654708	0.11681108215294168	-2.3418353465968877	True	True	1548.811255152206	1545.8635497118787	0.0	0.007555538871585387	0.007553691469235512	inf	20	8			0.01388114794078651	0.00866142914667549	8.785111691964386e-06	5.592307724948904e-06	1580.0764324355027	1548.8112551522058	6.439293542825908e-15	8.881784197001252e-16	12	12	1	1	False	default	lbfgs	lbfgs	26	11	4.74832854885608	4.2640745444223285	0.05112012289464474	0.02073245868086815
ENSMUSG00000049321.18:B1	ENSMUSG00000049321.18:B1	ENSMUSG00000049321.18	cell_type				laplace_multinomial	isoform		2	3	3	8	20	2	1	12.0	3.519937988493041	0.06063471608863752	0.34336232221841234	True	True	234.0979771657424	232.3380081714959	0.0	0.03690640645655859	0.04070810205411489	inf	37	14			0.0012524591407686706	0.0018769677653546998	3.2658364853105873e-06	8.017872636403804e-06	383.5033218601449	234.09797716574383	1.6653345369377348e-15	1.1379786002407855e-15	12	12	1	1	False	default	lbfgs	lbfgs	48	19	7.01789537165314	4.938312347047031	0.0824983399361372	0.023677963763475418
ENSMUSG00000053141.17:B4	ENSMUSG00000053141.17:B4	ENSMUSG00000053141.17	cell_type				laplace_multinomial	isoform		2	3	3	11	140	6	5	20.0	2.4696675758714264	0.7810561048087024	-8.281822436490085	True	True	5790.270585925106	5789.035752137171	0.0	0.2888869249873354	0.23885381097474256	inf	42	38			0.0552727678945788	0.035127293847945044	9.164587687779277e-06	6.066606616507101e-06	6031.12434270049	5790.270585925988	7.327471962526033e-15	8.303635556927702e-13	12	12	1	1	False	default	lbfgs	lbfgs	46	44	5.33881619758904	4.607723239809275	0.16527630854398012	0.13473292533308268
ENSMUSG00000054640.16:B1	ENSMUSG00000054640.16:B1	ENSMUSG00000054640.16	cell_type				laplace_multinomial	isoform		3	4	4	12	185	9	16	27.0	9.889274662189564	0.8723462991985296	-26.024970756168347	True	True	12334.24160269132	12329.296965360225	0.0	0.2633984859033047	0.2907495052226985	inf	25	21			0.13334808356153144	0.10174978185075298	9.218785074451314e-06	8.249374799708097e-06	14464.821826803254	12334.24160269132	2.4455264202583038e-15	1.5550169658873347e-15	12	12	1	1	False	default	lbfgs	lbfgs	35	26	5.670140936039388	6.57402453944087	0.2829640079289675	0.16527922451496124
ENSMUSG00000074794.11:B1	ENSMUSG00000074794.11:B1	ENSMUSG00000074794.11	cell_type				laplace_multinomial	isoform		2	2	2	4	10	2	1	15.0	0.2328552661994081	0.6294147263491324	-0.9232931377402138	True	True	140.9532763379558	140.8368487048561	0.0	0.0012575841815160385	0.0012574407439279007	inf	22	11			0.0006116019675880097	0.00019893564381475866	4.135846035696417e-06	1.4113587777681858e-06	147.87832097937968	140.9532763379558	5.551115123125783e-16	2.7755575615628914e-16	12	12	1	1	False	default	lbfgs	lbfgs	25	14	4.290928817354143	3.655039358884096	0.07937629893422127	0.03199431300163269
ENSMUSG00000095562.9:B2	ENSMUSG00000095562.9:B2	ENSMUSG00000095562.9	cell_type				laplace_multinomial	isoform		2	5	5	27	110	8	7	22.0	9.014036184546057	0.2516498764073318	-7.936700122939918	True	True	5563.330814325107	5558.823796232834	0.0	0.2658394582555089	0.26602065342987335	inf	112	101			0.05494199448282555	0.044827591015716955	9.35106009856916e-06	8.057689271362784e-06	5875.48298307188	5563.330814335974	2.2870594307278225e-13	8.679168495007161e-14	12	12	1	1	False	default	lbfgs	lbfgs	125	110	8.744000226259232	9.060317235067487	1.1249790964648128	0.917404280975461
ENSMUSG00000120400.1:B1	ENSMUSG00000120400.1:B1	ENSMUSG00000120400.1	cell_type				laplace_multinomial	isoform		2	3	3	5	26	3	2	13.0	0.1429338273728149	0.9310270813392442	-2.7617464303698087	True	True	234.60413182342432	234.53266490973792	0.0	0.0010451661604214738	0.0010084499854355234	inf	37	54			0.0029590066900046694	0.002029598397982567	7.715245892895321e-06	8.6511622033586e-06	383.52720458715476	234.60413182342435	2.220446049250313e-16	8.326672684688674e-17	12	12	1	1	False	default	lbfgs	lbfgs	41	65	4.493134064599872	4.586357392370701	0.06419011205434799	0.10460357461124659
