test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000060227.16:B1	True	True	True	True	1632.310110155343	1632.311428160415	1630.3751002263366	1630.370143243701	3.8700198580127108	3.8825698334280787	0.012549975415367953	9.889374292175653e-06	9.373862266189363e-06	3.337391386503118e-16	2.549665656955782e-16	101	59	106	65	118	106
ENSMUSG00000024976.15:B1	True	True	True	True	1713.240706194577	1713.2402935313826	1711.3846729779302	1711.384544664599	3.71206643329333	3.7114977335672847	0.0005686997260454518	8.676659279170664e-06	8.10612987178965e-06	1.2979057684865922e-16	1.723357521793185e-16	40	35	41	35	42	32
ENSMUSG00000059119.10:B1	True	True	True	True	1721.0723105346408	1721.0723105345824	1719.7274791827576	1719.7274690972731	2.6896627037663166	2.6896828746184838	2.0170852167211706e-05	9.452149749844747e-06	6.72670735236657e-06	9.525454543236795e-15	8.509918395034561e-15	52	34	52	37	52	34
ENSMUSG00000063663.12:B1	True	True	True	True	1470.6994419311486	1470.6984726462822	1469.3602947345582	1469.3497121999403	2.6782943931807495	2.6975208926837695	0.019226499503020023	9.78753097559527e-06	4.06790887532786e-06	4.810156852303103e-15	5.0854407005042446e-15	68	38	73	40	63	36
ENSMUSG00000035469.18:B1	True	True	True	True	1544.5808459227333	1544.5807408096994	1543.8628711374936	1543.8617221596573	1.4359495704793517	1.4380373000840336	0.002087729604681954	8.47173621972357e-06	8.314390119346882e-06	1.3916102634177163e-16	2.0367791520768713e-16	59	45	64	47	59	46
ENSMUSG00000036257.16:B2	True	True	True	True	2034.5450562229469	2034.545641495124	2034.5450269946255	2034.5456414951245	5.845664281878271e-05	0.0	5.845664281878271e-05	9.154899734274368e-06	4.682763285696862e-06	3.0584083866820844e-16	4.222105751178664e-16	43	2	47	2	41	0
ENSMUSG00000007476.19:B1	True	True	False	True	3046.24232169813	3121.025419042669	3044.4103142201434	3050.6223719681448	3.664014955973471	140.80609414904848	137.142079193075	8.118517912496216e-06	4.043732373818009e-06	1.8442055624518466e-14	2.0726617862563792e-14	28	9	30	10	4	37
ENSMUSG00000024867.15:B1	True	True	True	True	3512.29797483996	3512.297882249613	3510.636621689815	3510.6366074218904	3.3227063002896102	3.322549655445073	0.00015664484453736804	8.814307413640226e-06	8.148205602077693e-06	2.8255251086754024e-15	2.069359115783684e-16	19	14	21	15	19	14
ENSMUSG00000037503.13:B2	True	True	True	True	1616.6426635245489	1616.6426990317925	1616.6426635245487	1616.642547293328	4.547473508864641e-13	0.00030347692882060073	0.0003034769283658534	5.065807667250735e-06	8.338362931391671e-06	1.9633394598411173e-16	4.437385101306857e-16	43	0	58	0	44	2
ENSMUSG00000027698.15:B1	True	True	True	True	2467.011019298327	2467.030008639469	2467.0094410088777	2467.030008639469	0.0031565788985972176	0.0	0.0031565788985972176	8.908912840137225e-06	9.607055505213691e-06	8.812314939299788e-17	1.1023631990930019e-16	40	2	47	2	35	0
ENSMUSG00000031708.18:B2	True	True	True	True	1454.3113185799373	1454.3113163358116	1450.010754274471	1450.0109868979553	8.601128610932392	8.600658875712725	0.0004697352196672	4.027906203613873e-06	9.410030717726177e-06	6.7378689104079596e-15	4.327091861018838e-15	22	30	25	31	24	25
