test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000060227.16:B1	True	True	True	False	1632.310110056941	1632.3114282122472	1630.3745358028552	1630.369452501075	3.8711485081717	3.8839514223441256	0.012802914172425517	9.889206792197686e-06	9.996705991295566e-06	4.440892098500626e-16	2.4424906541753444e-15	101	71	106	76	118	124
ENSMUSG00000024976.15:B1	True	True	True	True	1713.2407061945771	1713.2402935313835	1711.384672977933	1711.384544664601	3.712066433288328	3.711497733565011	0.0005686997233169677	8.676659271652249e-06	8.106129987842142e-06	2.220446049250313e-16	2.661065812148422e-15	40	35	41	35	42	32
ENSMUSG00000059119.10:B1	True	True	True	True	1721.0723105348586	1721.0723105344173	1719.7274791833693	1719.7274690972943	2.689662702978694	2.6896828742460457	2.0171267351543065e-05	9.452148303951944e-06	6.72671550669487e-06	1.0658141036401503e-14	8.215650382226158e-15	52	34	52	37	52	34
ENSMUSG00000063663.12:B1	True	True	True	True	1470.6994419311388	1470.6984726462902	1469.3602947346844	1469.3497122012072	2.6782943929088106	2.6975208901658334	0.019226497257022857	9.787531496688384e-06	4.067904677859317e-06	3.9968028886505635e-15	7.327471962526033e-15	68	38	73	40	63	36
ENSMUSG00000035469.18:B1	True	True	True	True	1544.5808459227444	1544.5807408098349	1543.8628711404617	1543.861722162428	1.4359495645653624	1.4380372948139666	0.0020877302486042026	8.471736462917015e-06	8.313591278432237e-06	2.220446049250313e-16	1.3322676295501878e-15	59	45	64	47	59	46
ENSMUSG00000036257.16:B2	True	True	True	True	2034.545056222947	2034.5456414951248	2034.5450269946257	2034.5456414951245	5.845664281878271e-05	4.547473508864641e-13	5.845664236403536e-05	9.154899731466133e-06	4.6827632846560335e-06	4.440892098500626e-16	3.552713678800501e-15	43	2	47	2	41	0
ENSMUSG00000007476.19:B1	True	True	False	True	3046.2423216981306	3121.0254190426726	3044.410314220144	3050.6223719680966	3.664014955973471	140.80609414915216	137.1420791931787	8.118517915419062e-06	4.043732373563539e-06	2.453592884421596e-14	3.197442310920451e-14	28	9	30	10	4	37
ENSMUSG00000024867.15:B1	True	True	True	True	3512.2979748399603	3512.297882249613	3510.636621689816	3510.63660742189	3.3227063002887007	3.3225496554459824	0.00015664484271837864	8.814307413640714e-06	8.148205602020473e-06	2.220446049250313e-16	1.1102230246251565e-15	19	14	21	15	19	14
ENSMUSG00000037503.13:B2	True	True	True	True	1616.6426635245502	1616.6426990317925	1616.6426635245502	1616.6425472933286	0.0	0.00030347692791110603	0.00030347692791110603	5.065807202107336e-06	8.338362201576054e-06	8.881784197001252e-16	1.9984014443252818e-15	43	0	58	0	44	2
ENSMUSG00000027698.15:B1	True	True	True	True	2467.0110193006067	2467.030008639347	2467.0094410105116	2467.030008639347	0.003156580190079694	0.0	0.003156580190079694	8.90891431407387e-06	9.607055664930691e-06	1.1102230246251565e-16	9.020562075079397e-16	40	2	47	2	35	0
