test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|EX_thalamus	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	EX_thalamus	2	2	2	True	0.03932931573411165	0.6638542509885733	-0.026108933438561802	-1.0	False	NA	-0.024697479436158472	NA	-1.0	NA	7.35	0.0	0.018418612003805197	[37, 38]	[67, 53]	[0, 0]	[7, 0]	0.04401271305127644	False
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	INH_medium_spiny	2	2	2	True	0.13210560925192064	0.13026028928531583	0.01720811487736808	1.0000000000000002	True	-0.004535602417476432	0.043629165897752516	-1.0	1.0000000000000002	False	115.24000000000001	45.559999999999995	0.14609627932472657	[37, 38]	[67, 53]	[35, 33]	[14, 30]	0.25213390141525394	False
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	INH_midbrain	2	2	2	False	0.03279598680457521	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[37, 38]	[67, 53]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.04567295759913964	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[37, 38]	[67, 53]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_hippocampus_granule|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_hippocampus_granule	INH_midbrain	2	2	2	False	0.022113390029978187	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[9, 16]	[15, 25]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|EX_hippocampus_pyramidal|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	EX_hippocampus_pyramidal	INH_midbrain	2	2	2	False	0.024415350869152638	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 2]	[10, 9]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020863.16:B2|cell_type|INH_medium_spiny|INH_midbrain	ENSMUSG00000020863.16:B2	ENSMUSG00000020863.16	Luc7l3	alternative acceptor	INH_medium_spiny	INH_midbrain	2	2	2	False	0.1230757804840557	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[35, 33]	[14, 30]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020866.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000020866.18:B1	ENSMUSG00000020866.18	Cacna1g	alternative first region	EX_cortical	INH_midbrain	2	2	11	False	0.04700765997845394	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020866.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020866.18:B1	ENSMUSG00000020866.18	Cacna1g	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	11	False	0.03966311762536209	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	ASC	EX_cortical	6	6	6	True	0.2893719413588598	0.5222958593796553	0.12400036902761637	0.8204459524531241	True	NA	0.14783191891757888	NA	0.8342498984619839	NA	4.0	0.0	0.08265930256651358	[0, 0, 0, 0, 0, 0]	[0, 0, 2, 1, 0, 1]	[0, 0, 4, 0, 0, 1]	[0, 0, 13, 0, 0, 0]	0.1566947015188043	False
ENSMUSG00000020886.18:B1|cell_type|ASC|INH_medium_spiny	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	ASC	INH_medium_spiny	6	6	6	True	0.3787505851341754	1.007350981877821	-0.24071431351277223	-0.6309105487335126	False	NA	-0.23622705799640437	NA	-0.6430647385746115	NA	4.0	0.0	9.816095044240297e-05	[0, 0, 0, 0, 0, 0]	[0, 0, 2, 1, 0, 1]	[101, 2, 11, 0, 1, 0]	[47, 1, 5, 0, 6, 0]	0.0003678171022413777	False
ENSMUSG00000020886.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	EX_cerebellum_granule	EX_cortical	6	6	6	True	0.6473319527764803	0.10719539725621725	-0.05800571868789146	-0.835925607220947	False	NA	NA	NA	NA	NA	3.0	0.0	1.0	[0, 0, 0, 0, 0, 0]	[0, 0, 3, 0, 0, 0]	[0, 0, 4, 0, 0, 1]	[0, 0, 13, 0, 0, 0]	1.0	False
ENSMUSG00000020886.18:B1|cell_type|EX_cerebellum_granule|INH_medium_spiny	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	EX_cerebellum_granule	INH_medium_spiny	6	6	6	True	0.6376998444832659	1.2444373260093138	-0.7033827115418506	-0.8863440824071738	False	NA	-0.6972126906862823	NA	-0.8978730611396456	NA	3.0	0.0	0.003053965160628525	[0, 0, 0, 0, 0, 0]	[0, 0, 3, 0, 0, 0]	[101, 2, 11, 0, 1, 0]	[47, 1, 5, 0, 6, 0]	0.009456490191914049	False
ENSMUSG00000020886.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	EX_cortical	INH_medium_spiny	6	6	6	True	0.04186335851407291	1.1926161337583603	0.047363342464770634	0.9486534623424983	True	0.04217088211737939	0.04816431036003715	0.8987119312859433	0.9448377754620775	True	18.47	5.470000000000001	1.1144067137640692e-15	[0, 0, 4, 0, 0, 1]	[0, 0, 13, 0, 0, 0]	[101, 2, 11, 0, 1, 0]	[47, 1, 5, 0, 6, 0]	1.1664931145160856e-14	True
ENSMUSG00000020886.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	EX_cortical	INH_midbrain	6	6	6	False	0.04411106142905501	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 4, 0, 0, 1]	[0, 0, 13, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	NA	False
ENSMUSG00000020886.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	EX_cortical	INH_migrating_interneuron	6	6	6	False	0.048345548013693534	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0, 4, 0, 0, 1]	[0, 0, 13, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|ASC|EX_cortical	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	ASC	EX_cortical	2	2	9	True	0.3018938080945674	0.27274118702909694	0.08233887557644672	1.0000000000000002	True	NA	0.10673557945094941	NA	0.9999999999999999	NA	4.0	0.0	0.7635474012182405	[0, 0]	[3, 1]	[6, 1]	[16, 0]	0.9033122203601542	False
ENSMUSG00000020886.18:B2|cell_type|ASC|INH_medium_spiny	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	ASC	INH_medium_spiny	2	2	9	True	0.33259433678448	0.8315722039341961	-0.2765762056559023	-1.0	False	NA	-0.2535637429021172	NA	-0.9999999999999998	NA	4.0	0.0	0.04203247245439361	[0, 0]	[3, 1]	[16, 103]	[13, 49]	0.08742391139002385	False
ENSMUSG00000020886.18:B2|cell_type|ASC|INH_midbrain	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	ASC	INH_midbrain	2	2	9	False	0.35497683382541895	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[3, 1]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|ASC|INH_migrating_interneuron	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	ASC	INH_migrating_interneuron	2	2	9	False	0.24627836349233073	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[3, 1]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cerebellum_granule	EX_cortical	2	2	9	True	0.7125719123909801	0.0808122035641768	-0.057584506438254635	-0.9999999999999999	False	NA	NA	NA	NA	NA	3.0	0.0	1.0	[0, 0]	[3, 0]	[6, 1]	[16, 0]	1.0	False
ENSMUSG00000020886.18:B2|cell_type|EX_cerebellum_granule|INH_medium_spiny	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cerebellum_granule	INH_medium_spiny	2	2	9	True	0.735418299730632	1.18512559452747	-0.8715630496946464	-1.0000000000000002	False	NA	-0.8206788813271925	NA	-1.0	NA	3.0	0.0	0.01181788028622386	[0, 0]	[3, 0]	[16, 103]	[13, 49]	0.02971440917919994	False
ENSMUSG00000020886.18:B2|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cerebellum_granule	INH_midbrain	2	2	9	False	0.7588687632170023	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[3, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|EX_cerebellum_granule|INH_migrating_interneuron	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cerebellum_granule	INH_migrating_interneuron	2	2	9	False	0.6011263187006574	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[3, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cortical	INH_medium_spiny	2	2	9	True	0.03142349174918197	1.1043133909632932	0.03470138272944621	1.0	True	0.030759760529142168	0.03506656832656834	1.0	1.0	True	24.499999999999996	8.17	2.520006659121788e-14	[6, 1]	[16, 0]	[16, 103]	[13, 49]	2.4512792047821027e-13	True
ENSMUSG00000020886.18:B2|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cortical	INH_midbrain	2	2	9	False	0.036261116263440314	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[6, 1]	[16, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020886.18:B2|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	EX_cortical	INH_migrating_interneuron	2	2	9	False	0.041100514561061896	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[6, 1]	[16, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020894.17:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000020894.17:B1	ENSMUSG00000020894.17	Vamp2	alternative first region	ASC	EX_cerebellum_granule	2	2	2	True	0.25373970201175916	0.04391707088711568	0.011143504480126036	1.0	True	-0.008410362372598536	0.0194600326206151	-1.0000000000000002	1.0000000000000002	False	252.0	16.0	0.12066398321798451	[5, 123]	[10, 114]	[1, 15]	[7, 258]	0.2155833317976235	False
ENSMUSG00000020894.17:B1|cell_type|ASC|EX_cortical	ENSMUSG00000020894.17:B1	ENSMUSG00000020894.17	Vamp2	alternative first region	ASC	EX_cortical	2	2	2	True	0.11297790631971417	0.07945746364633	0.008976937884237167	1.0000000000000002	True	0.004946434354861223	0.012749669114842427	1.0	1.0	True	252.0	124.0	1.0922180563464998e-09	[5, 123]	[10, 114]	[5, 612]	[1, 1179]	7.566949555839419e-09	True
ENSMUSG00000020894.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020894.17:B1	ENSMUSG00000020894.17	Vamp2	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.04431965303583129	0.00249346025187581	-0.00011050929322177239	-1.0	False	0.00021412045682123626	-0.00031557442147044643	1.0	-1.0	False	1470.0	510.0	0.6129197801983592	[5, 612]	[1, 1179]	[4, 955]	[3, 507]	0.7665477251052207	False
ENSMUSG00000020894.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000020894.17:B1	ENSMUSG00000020894.17	Vamp2	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.02105039875741221	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[5, 612]	[1, 1179]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020900.16:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000020900.16:B1	ENSMUSG00000020900.16	Myh10	alternative first region	ASC	EX_cerebellum_granule	2	2	2	True	0.017960954551776872	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000020900.16:B1|cell_type|ASC|EX_cortical	ENSMUSG00000020900.16:B1	ENSMUSG00000020900.16	Myh10	alternative first region	ASC	EX_cortical	2	2	2	True	0.1454472115786362	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[23, 24]	[26, 0]	NA	False
ENSMUSG00000020900.16:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000020900.16:B1	ENSMUSG00000020900.16	Myh10	alternative first region	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.13431706446344344	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 0]	[0, 0]	[23, 24]	[26, 0]	NA	False
ENSMUSG00000020900.16:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000020900.16:B1	ENSMUSG00000020900.16	Myh10	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.0625006883770485	0.46942463457716876	-0.02933936280221749	-1.0	False	-0.04556150575282291	NA	-1.0	NA	NA	73.81	21.35	3.0370667362573453e-09	[23, 24]	[26, 0]	[21, 0]	[57, 0]	1.9761454506863672e-08	False
