zeta	test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication	test_statistic	test_p_value	test_raw_p_value
8.0	ENSMUSG00000040785.20:B1|cell_type|ASC|EX_cerebellum_granule	ENSMUSG00000040785.20:B1	ENSMUSG00000040785.20	ENSMUSG00000040785.20	local path	ASC	EX_cerebellum_granule	4	4	4	True	0.0367128454649125	0.2807489037888367	0.0040702525201422	0.3948982766382202	True	0.0122632393138173	0.0029042616705452	0.3980503128258079	0.4055651575231208	True	191.15	3.88	0.0001827935669796	[36, 0, 53, 1]	[52, 0, 48, 0]	[3, 0, 0, 0]	[129, 0, 66, 0]	0.0006631312366768	True	36.74240557299188	0.0007414861500979	0.0004904491237816
8.0	ENSMUSG00000021010.10:B1|cell_type|ASC|ODC	ENSMUSG00000021010.10:B1	ENSMUSG00000021010.10	ENSMUSG00000021010.10	local path	ASC	ODC	3	3	3	True	0.30557397975309	0.0267443836725641	-0.004604120156272	-0.5633751474321506	False	-0.1361810622976389	0.0327072748475452	-0.563375147432149	0.5633751474321492	False	21.58	3.17	1.0	[1, 11, 0]	[12, 16, 0]	[2, 1, 0]	[5, 13, 0]	1.0	False	41.18335687098866	0.0007552513570922	0.0006440514376492
8.0	ENSMUSG00000040225.16:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000040225.16:B1	ENSMUSG00000040225.16	ENSMUSG00000040225.16	local path	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.0031652358369405	0.193752606512809	0.0006132726936349	1.0	True	NA	0.0008021420263152	NA	1.0000000000000002	NA	85.64	0.0	0.0179596761270169	[0, 0]	[34, 51]	[74, 180]	[37, 130]	0.0427187901976831	True	16.969734558767875	0.0007620499142693	0.0001830268054267
8.0	ENSMUSG00000040249.16:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000040249.16:B1	ENSMUSG00000040249.16	ENSMUSG00000040249.16	local path	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.0056708294599788	0.0069330188924896	-3.931596778212027e-05	-0.9999999999999998	False	-0.0004200828726394	6.862941433470672e-05	-1.0	0.9999999999999998	False	125.17	5.0	0.9959137932815892	[0, 5]	[3, 117]	[11, 199]	[6, 389]	1.0	False	15.044122929221633	0.0007620499142693	0.0002988240131935
8.0	ENSMUSG00000005871.16:B1|cell_type|ASC|EX_cortical	ENSMUSG00000005871.16:B1	ENSMUSG00000005871.16	ENSMUSG00000005871.16	local path	ASC	EX_cortical	2	2	3	True	0.0127939611818603	0.9007489777759432	0.0115241474562658	1.0	True	0.0123073016840213	0.0117441234306009	1.0	1.0	True	77.03999999999999	23.630000000000003	2.142359375408166e-22	[0, 45]	[8, 78]	[36, 17]	[17, 6]	3.079641602149239e-21	True	16.3247514526339	0.0007620499142693	0.00030042343686
8.0	ENSMUSG00000031865.17:B3|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000031865.17:B3	ENSMUSG00000031865.17	ENSMUSG00000031865.17	local path	EX_cortical	INH_medium_spiny	2	2	4	True	0.0010503820806325	0.0426961769109881	-4.484729913881935e-05	-1.0000000000000002	False	-0.0001515010919297	-8.000693487132587e-06	-1.0	-1.0	False	639.4	285.65	0.1404250151427641	[101, 237]	[207, 807]	[69, 284]	[56, 228]	0.2446799506275435	False	16.77554516477617	0.0007701617339641	0.00050211008655
8.0	ENSMUSG00000028399.19:B5|cell_type|EX_cortical|ODC	ENSMUSG00000028399.19:B5	ENSMUSG00000028399.19	ENSMUSG00000028399.19	local path	EX_cortical	ODC	2	2	7	True	0.1220410239539236	0.3128845138869683	0.0381847464540912	1.0	True	0.0443399844942709	0.0251393793623219	1.0	1.0	True	89.5	24.07	5.890451439066163e-06	[38, 26]	[16, 7]	[264, 48]	[361, 75]	2.575672682481402e-05	True	19.013432133296607	0.000781127948758	0.0004578313127333
8.0	ENSMUSG00000013033.17:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000013033.17:B2	ENSMUSG00000013033.17	ENSMUSG00000013033.17	local path	EX_cortical	INH_medium_spiny	2	2	5	True	0.0374179345403183	0.0046442850010076	-0.0001737795521542	-1.0	False	0.00046569364442	-0.0005200969616178	1.0	-1.0	False	283.14	56.25	0.83210281621378	[548, 4]	[507, 0]	[56, 0]	[224, 2]	0.9685407273743392	False	20.533705957647623	0.0007876082961407	0.0001269410757255
8.0	ENSMUSG00000061751.17:B1|cell_type|EX_cortical|EX_hippocampus_granule	ENSMUSG00000061751.17:B1	ENSMUSG00000061751.17	ENSMUSG00000061751.17	local path	EX_cortical	EX_hippocampus_granule	5	5	5	True	0.1199143061329171	0.3646785757931032	0.0035133214886456	0.0803408908670626	True	0.0071128038446582	0.0013300162395282	0.0780904926648038	0.0854350012413406	True	121.79	42.4	5.425447954932901e-08	[0, 22, 157, 0, 0]	[5, 59, 160, 4, 0]	[0, 28, 14, 0, 0]	[0, 29, 50, 0, 0]	3.0141377527405e-07	True	102.26306759344972	0.0007877116975187	0.0008834899064617
8.0	ENSMUSG00000033900.14:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000033900.14:B1	ENSMUSG00000033900.14	ENSMUSG00000033900.14	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0295728323059722	0.1056758654466468	-0.0031251346476421	-1.0	False	0.0232346114027172	-0.0254937337351744	1.0	-1.0	False	93.94	23.56	0.3013112710556908	[32, 0]	[52, 81]	[31, 39]	[23, 0]	0.4505955288869238	False	19.09201161590873	0.0007995202878273	0.0001526524678722
8.0	ENSMUSG00000024661.8:B1|cell_type|EX_cortical|ODC	ENSMUSG00000024661.8:B1	ENSMUSG00000024661.8	ENSMUSG00000024661.8	local path	EX_cortical	ODC	3	3	3	True	0.1454994695914118	0.0099259227481545	-0.0014036995025408	-0.9719453470725784	False	-0.0011927829889852	-0.0015246123760163	-0.9714595474279392	-0.9721745110168368	False	18362.32	7696.48	8.076769185622497e-06	[1, 315, 7379]	[0, 393, 10272]	[14, 1648, 33493]	[13, 1871, 40296]	3.452893889764265e-05	False	700.9302634084669	0.0008198961464881	0.0004274356618658
8.0	ENSMUSG00000024393.15:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000024393.15:B1	ENSMUSG00000024393.15	ENSMUSG00000024393.15	local path	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.1660160454772334	0.0509977926521188	0.0084664518641726	1.0	True	-0.010598992772618	0.0112336850011262	-1.0	1.0	False	453.0	22.0	0.0009687166600069	[0, 22]	[28, 402]	[22, 465]	[19, 1020]	0.0031829261685943	True	12.528121051628242	0.00082227181957	0.000650890010855
8.0	ENSMUSG00000024073.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000024073.17:B1	ENSMUSG00000024073.17	ENSMUSG00000024073.17	local path	EX_cortical	INH_medium_spiny	2	2	4	True	0.0380923501025589	0.1117364814652046	0.0042563051712006	1.0	True	0.0226201577108787	-0.0050538636383774	1.0000000000000002	-0.9999999999999998	False	103.64	28.54	0.308363161589504	[2, 26]	[35, 39]	[27, 26]	[18, 31]	0.4558241608230918	False	12.39878208171874	0.00082227181957	0.0007140362414326
8.0	ENSMUSG00000025372.17:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000025372.17:B1	ENSMUSG00000025372.17	ENSMUSG00000025372.17	local path	EX_cerebellum_granule	EX_cortical	2	2	5	True	0.2289627622342398	0.1491118821183683	-0.0341410684117679	-1.0	False	-0.0168397503185839	-0.0370221354716711	-0.9999999999999998	-1.0	False	176.35	10.0	0.0001459237875875	[1, 9]	[12, 153]	[87, 486]	[424, 1827]	0.0005344342539034	False	18.692278595968705	0.0008466097129223	0.000277348273307
8.0	ENSMUSG00000031865.17:B2|cell_type|ASC|EX_cortical	ENSMUSG00000031865.17:B2	ENSMUSG00000031865.17	ENSMUSG00000031865.17	local path	ASC	EX_cortical	2	2	4	True	0.1536441854870008	0.2677628947244317	0.0411402118635768	0.9999999999999998	True	NA	0.0549058120249639	NA	1.0	NA	105.92	41.83	8.092388419042205e-10	[0, 41]	[0, 64]	[0, 339]	[256, 757]	5.539432548749129e-09	True	32.18081865626573	0.0008466097129223	0.0003202161209229
