endpoint	minimum_depth	minimum_original_effect_norm	n_tests	n_replicated	replication_rate	ci_low	ci_high	null_rate	n_orientation_trials	sign_test_p_value	n_technical_bh_directional	technical_bh_directional_rate
pooled direction	50	0.3	15	8	0.5333333333333333	0.30116980025498397	0.7519046463426261	0.5	15	0.4999999999999999	7	0.4666666666666667
both biological replicates	50	0.3	9	7	0.7777777777777778	0.45258896910698887	0.9367748928821533	0.5	9	0.08984375	7	0.7777777777777778
pooled direction	100	0.0	431	243	0.5638051044083526	0.5166271402903558	0.6098557395830625	0.5	431	0.004607085755837045	153	0.35498839907192575
both biological replicates	100	0.0	279	111	0.3978494623655914	0.34217878974473986	0.4562948843847135	0.34767025089605735	194	0.026141558836680977	91	0.32616487455197135
pooled direction	100	0.05	247	152	0.6153846153846154	0.5533863075948726	0.6738488562730931	0.5	247	0.000173433366181162	101	0.4089068825910931
both biological replicates	100	0.05	155	78	0.5032258064516129	0.42539296894203876	0.5809026166527071	0.38387096774193546	119	0.00044406855854494304	63	0.4064516129032258
pooled direction	100	0.1	123	71	0.5772357723577236	0.4888955661133758	0.6608977284186497	0.5	123	0.05210193320266302	54	0.43902439024390244
both biological replicates	100	0.1	73	38	0.5205479452054794	0.40781596889792504	0.6312254554326613	0.4246575342465753	62	0.04897722025975368	34	0.4657534246575342
pooled direction	100	0.2	35	18	0.5142857142857142	0.35568804595868564	0.6700576399749026	0.5	35	0.5000000000000001	15	0.42857142857142855
both biological replicates	100	0.2	18	12	0.6666666666666666	0.43749467295945105	0.837212252491663	0.4722222222222222	17	0.0717315673828125	12	0.6666666666666666
pooled direction	100	0.3	14	8	0.5714285714285714	0.3259064457965074	0.7861920109552588	0.5	14	0.395263671875	7	0.5
both biological replicates	100	0.3	6	6	1.0	0.6096657120978346	1.0	0.5	6	0.015625	6	1.0
