null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	39	6-10	4	0.75	0.75	1.5535275821731475e-17
label_permutation	39	>20	127	0.7952755905511811	0.7952755905511811	3.1426779651934656e-26
label_permutation	40	11-20	41	0.5365853658536586	0.4878048780487805	0.0154949196803767
label_permutation	40	6-10	11	0.36363636363636365	0.36363636363636365	1.0
label_permutation	40	>20	276	0.9239130434782609	0.9239130434782609	5.2262825206780794e-36
label_permutation	41	11-20	36	0.6666666666666666	0.6666666666666666	5.200926410589752e-13
label_permutation	41	6-10	3	0.6666666666666666	0.6666666666666666	1.0134634657969726e-31
label_permutation	41	>20	66	0.8939393939393939	0.8939393939393939	1.03919350413251e-21
label_permutation	42	11-20	39	0.717948717948718	0.717948717948718	8.391162679639697e-37
label_permutation	42	6-10	2	0.0	0.0	1.0
label_permutation	42	>20	157	0.9490445859872612	0.9490445859872612	1.3968952651925062e-50
label_permutation	43	11-20	35	0.8	0.8	2.584151428221873e-19
label_permutation	43	6-10	2	1.0	1.0	8.861865436302382e-42
label_permutation	43	>20	132	0.9318181818181818	0.9318181818181818	5.6545169713467655e-43
label_permutation	44	1-5	2	1.0	1.0	3.420707895537624e-14
label_permutation	44	11-20	27	0.6296296296296297	0.6296296296296297	8.667637892394862e-28
label_permutation	44	6-10	1	0.0	0.0	1.0
label_permutation	44	>20	172	0.9127906976744186	0.9127906976744186	4.18494574768921e-39
label_permutation	45	1-5	1	1.0	1.0	1.5141087310962108e-16
label_permutation	45	11-20	31	0.4838709677419355	0.4838709677419355	1.0
label_permutation	45	6-10	1	1.0	1.0	2.010241484164737e-44
label_permutation	45	>20	240	0.8875	0.8875	3.786052772212911e-36
label_permutation	46	11-20	32	0.75	0.75	2.7068212952724618e-09
label_permutation	46	6-10	3	0.3333333333333333	0.3333333333333333	1.0
label_permutation	46	>20	203	0.8719211822660099	0.8719211822660099	9.437318790225652e-33
label_permutation	47	11-20	40	0.875	0.875	4.019338249338453e-41
label_permutation	47	6-10	1	0.0	0.0	1.0
label_permutation	47	>20	147	0.8503401360544217	0.8503401360544217	1.4950953641984694e-34
label_permutation	48	1-5	2	1.0	1.0	9.593846104127197e-18
label_permutation	48	11-20	25	0.44	0.44	1.0
label_permutation	48	6-10	2	1.0	1.0	4.6156450673071555e-38
label_permutation	48	>20	139	0.7841726618705036	0.7841726618705036	9.15790106885528e-39
label_permutation	49	1-5	2	0.5	0.5	0.5000000000000008
