test_id	null_type	replicates	observed_statistic	empirical_p_value
ENSG00000072415.8:B1	wild_cluster	16	2887902340.742801	0.058823529411764705
ENSG00000072832.14:B1	label_permutation	16	3229037.902702675	0.058823529411764705
ENSG00000072832.14:B1	wild_cluster	16	3229037.902702675	0.11764705882352941
ENSG00000073169.14:B1	label_permutation	16	266086.45187949337	0.058823529411764705
ENSG00000073169.14:B1	wild_cluster	16	266086.45187949337	0.23529411764705882
ENSG00000073169.14:B2	label_permutation	16	28807.86812452437	0.11764705882352941
ENSG00000073169.14:B2	wild_cluster	16	28807.86812452437	0.11764705882352941
ENSG00000073169.14:B3	label_permutation	16	113.61478397417642	0.47058823529411764
ENSG00000073169.14:B3	wild_cluster	16	113.61478397417642	0.7647058823529411
ENSG00000073712.15:B1	label_permutation	16	149700294.70633128	0.47058823529411764
ENSG00000073712.15:B1	wild_cluster	16	149700294.70633128	0.4117647058823529
ENSG00000075089.9:B1	label_permutation	16	729034.7631800754	0.7647058823529411
ENSG00000075089.9:B1	wild_cluster	16	729034.7631800754	0.7647058823529411
ENSG00000075089.9:B2	label_permutation	11	-17391702733.770844	0.75
ENSG00000075089.9:B2	wild_cluster	16	-17391702733.770844	1.0
ENSG00000075826.17:B1	label_permutation	16	28671092.382601555	0.4117647058823529
ENSG00000075826.17:B1	wild_cluster	16	28671092.382601555	0.17647058823529413
ENSG00000076201.15:B1	label_permutation	16	31933463656.04952	0.058823529411764705
ENSG00000076201.15:B1	wild_cluster	16	31933463656.04952	0.058823529411764705
ENSG00000076650.6:B1	label_permutation	16	-3156444805.043682	1.0
ENSG00000076650.6:B1	wild_cluster	16	-3156444805.043682	1.0
ENSG00000077147.16:B1	label_permutation	15	3263465.09806095	0.375
ENSG00000077147.16:B1	wild_cluster	16	3263465.09806095	0.23529411764705882
ENSG00000078177.14:B1	label_permutation	16	-55245.6881787421	0.7058823529411765
ENSG00000078177.14:B1	wild_cluster	16	-55245.6881787421	0.7058823529411765
ENSG00000078808.16:B1	label_permutation	16	57959555239.59386	0.058823529411764705
ENSG00000078808.16:B1	wild_cluster	16	57959555239.59386	0.058823529411764705
ENSG00000079313.15:B1	label_permutation	16	44280247031.81263	0.058823529411764705
ENSG00000079313.15:B1	wild_cluster	16	44280247031.81263	0.058823529411764705
ENSG00000079739.17:B1	label_permutation	16	824.0599652978595	0.29411764705882354
ENSG00000079739.17:B1	wild_cluster	16	824.0599652978595	0.35294117647058826
