test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSG00000246859.2:B1	wild_cluster	9.601776778460918e-28	0.2558139534883721	128	14	11-20	0.6857341200971885
ENSG00000251623.2:B1	wild_cluster	2.7024923075438605e-51	0.31363636363636366	219	45	>20	0.7372742200328407
ENSG00000258017.1:B1	wild_cluster	1.0	1.0	7	62	>20	1.0
ENSG00000263345.1:B1	wild_cluster	4.407873115747761e-05	0.09507042253521127	283	1	6-10	0.5335827464788732
ENSG00000272690.5:B1	wild_cluster	5.222973278945134e-07	0.3954802259887006	176	8	11-20	0.789202762084118
ENSG00000284977.1:B1	wild_cluster	8.686305035335612e-10	0.16666666666666666	77	6	6-10	0.5846354166666666
ENSG00000102385.12:B1	wild_cluster	8.094489221591514e-103	0.015873015873015872	62	56	>20	0.34485407066052226
ENSG00000102385.12:B2	wild_cluster	2.2167190769915538e-07	0.5210526315789473	189	19	>20	0.8778710378196899
ENSG00000102385.12:B3	wild_cluster	1.1787996591320957e-37	0.5897435897435898	272	38	>20	0.9178691678691678
ENSG00000141314.13:B1	wild_cluster	2.8790859107120256e-56	0.2876712328767123	72	32	>20	0.7142730888201504
ENSG00000141314.13:B3	wild_cluster	0.0600651337633296	0.7955801104972375	180	8	>20	1.0
ENSG00000141314.13:B4	wild_cluster	3.1968661885277604e-53	0.11578947368421053	189	24	>20	0.5590265987549519
ENSG00000198053.11:B1	wild_cluster	1.0	1.0	135	50	>20	1.0
ENSG00000198053.11:B2	wild_cluster	8.905771047404167e-28	0.3631578947368421	189	24	>20	0.7719750698474103
ENSG00000198053.11:B3	wild_cluster	2.54117551557793e-54	0.32	99	48	>20	0.7372742200328407
ENSG00000100116.16:B1	wild_cluster	5.351318286151963e-28	0.37037037037037035	134	10	11-20	0.7774891774891775
ENSG00000100116.16:B2	wild_cluster	6.4577715630054214e-09	0.20243902439024392	409	6	11-20	0.6290319858215884
ENSG00000116857.17:B2	wild_cluster	8.2071337210661155e-53	0.4583333333333333	23	42	11-20	0.8390047206923681
ENSG00000131016.17:B1	wild_cluster	1.0	1.0	24	69	>20	1.0
ENSG00000131016.17:B2	wild_cluster	2.5122362559726804e-10	0.7157894736842105	189	24	>20	0.9843475457403079
ENSG00000144746.7:B1	wild_cluster	1.0	1.0	20	63	11-20	1.0
ENSG00000144746.7:B2	wild_cluster	7.588302542742016e-40	0.3404255319148936	140	21	11-20	0.7463053297199639
